tracking_id	Day0_1_0	Day0_2_0	Day2_1_0	Day2_2_0	Day5_1_0	Day5_2_0	Day14_1_0	Day14_2_0	Fetal_27195_0	Fetal_27197_0
ENSG00000000003	2686.64	3279.37	3663.31	3965.08	5540.39	4844.89	3911.17	3758.66	1384.04	1133.62
ENSG00000000005	55.3046	56.1816	20.9121	26.6311	5.06898	4.56291	15.2231	17.3823	71.57	30.3835
ENSG00000000419	1203.12	1489.72	1191.99	1236.87	882.002	870.603	847.811	885.473	628.343	578.333
ENSG00000000457	290.107	316.248	430.544	490.21	643.036	506.483	476.601	458.074	725.173	626.528
ENSG00000000460	1014.89	1245.06	734.385	607.584	705.312	668.922	182.677	84.8663	445.208	618.146
ENSG00000000938	14.5539	8.15539	4.9205	6.90436	0.72414	0.912581	0	2.04497	19.9975	47.1467
ENSG00000000971	0	0	1.23013	0.986338	0	0	0	0	1476.66	2120.56
ENSG00000001036	2003.58	2339.69	2273.27	2001.28	1783.56	1640.82	1633.56	1935.57	1435.61	1108.47
ENSG00000001084	1402.02	1554.06	2034.63	2315.92	1109.38	1210.08	1331.44	1325.14	567.298	789.97
ENSG00000001167	1328.28	817.352	977.95	1057.35	1183.97	1480.21	804.483	469.321	1428.24	1546.41
ENSG00000001460	239.653	202.073	385.029	327.464	283.139	229.97	207.269	268.914	190.503	225.257
ENSG00000001461	431.764	532.819	252.176	231.789	643.036	564.888	1842	1863.99	1268.26	908.361
ENSG00000001497	2947.64	3163.39	2569.73	2200.52	2042.07	2140	1428.63	1386.49	918.833	989.034
ENSG00000001561	239.653	181.231	211.582	203.186	315.001	373.246	519.928	628.829	537.828	432.702
ENSG00000001617	3142.66	1856.71	8252.91	10044.9	1773.42	1706.53	281.042	424.332	371.533	865.405
ENSG00000001626	20.3754	57.0877	1.23013	0	28.2414	39.241	114.759	25.5621	34.7325	133.059
ENSG00000001629	2403.33	2242.73	2520.53	2588.15	2514.94	2542.45	1552.76	1632.91	1985.02	2262
ENSG00000001630	7133.33	7784.78	5575.79	5754.63	3553.62	3011.43	3383.99	6289.22	1706.56	1844.58
ENSG00000001631	1171.1	1351.08	1401.11	1596.88	1732.87	1698.31	1393.5	1474.42	1599.8	1702.52
ENSG00000002016	461.842	383.303	448.996	478.374	478.656	479.105	326.712	345.6	499.938	621.289
ENSG00000002330	385.192	446.734	565.858	641.12	469.967	344.043	1283.43	1228.01	970.406	665.293
ENSG00000002549	1866.77	2132.18	1795.98	1898.7	1273.04	1228.33	2863.12	3082.79	1475.61	1074.95
ENSG00000002586	693.734	635.214	2221.61	2301.13	5672.19	5396.09	7588.14	5372.14	3388	3444.86
ENSG00000002587	40.7508	42.5893	252.176	203.186	177.414	153.314	49.1824	1.02249	293.648	250.402
ENSG00000002726	17.4646	27.1846	0	0.986338	28.9656	28.29	3.51303	4.08994	0	1.04771
ENSG00000002745	0.970257	0.906155	0	1.97268	87.6209	31.0278	2.34202	1.02249	4.21	9.42935
ENSG00000002746	130.014	191.199	72.5774	110.47	18.1035	16.4265	2.34202	19.4272	14.735	18.8587
ENSG00000002822	1037.2	1220.59	1342.07	1250.68	1173.11	1124.3	1522.31	1493.85	856.735	751.205
ENSG00000002834	6045.67	7597.2	6805.05	7482.36	4197.84	3810.03	2666.39	1869.1	3865.83	5959.35
ENSG00000002919	594.768	575.408	378.879	375.795	390.311	361.382	647.568	701.425	330.485	312.216
ENSG00000002933	3.88103	5.43693	0	0.986338	12.3104	19.1642	72.6026	99.1811	206.29	342.6
ENSG00000003056	2837.03	2739.31	2767.78	2683.83	2380.97	2318.87	2286.98	2297.53	1861.87	1531.75
ENSG00000003096	516.177	618.904	314.912	219.953	529.346	595.003	1100.75	1086.9	5766.65	3452.19
ENSG00000003137	51.4236	20.8416	28.2929	2.95901	7.96554	20.9894	32.7883	48.0568	474.678	851.785
ENSG00000003147	663.656	738.516	367.808	356.068	645.933	720.939	569.11	758.684	1406.14	1228.96
ENSG00000003249	1015.86	1448.04	644.586	411.303	259.966	271.037	206.098	211.655	192.608	134.106
ENSG00000003393	3032.05	2967.66	3286.9	3573.5	2928.42	2594.47	5362.05	4346.59	3686.91	2651.74
ENSG00000003400	180.468	212.946	243.565	232.776	336.001	256.435	104.22	20.4497	479.94	538.521
ENSG00000003402	314.363	349.776	2513.15	2904.76	2577.94	2722.23	2298.69	2702.43	7342.24	6861.42
ENSG00000003436	113.52	155.859	194.36	288.997	1202.8	1047.64	559.742	158.485	5002.54	5452.26
ENSG00000003509	1022.65	1090.1	772.519	775.262	643.036	651.583	536.322	657.458	695.703	581.477
ENSG00000003756	2877.78	2732.96	4872.53	5268.03	5243.5	5261.94	5255.49	6104.31	8363.71	8743.1
ENSG00000003987	281.375	221.102	88.569	71.0163	119.483	134.149	86.6547	74.6415	28.4175	53.433
ENSG00000003989	2325.71	2118.59	1326.08	1768.5	21730.7	22665.8	3873.7	2189.14	1392.46	1378.78
ENSG00000004059	2573.5	2509.78	3578.5	3446.65	3118.53	2628.32	3048.53	2650.14	1804.01	1584.59
ENSG00000004139	240.624	298.125	93.4895	106.524	102.828	114.073	487.14	440.691	543.09	741.775
ENSG00000004142	2407.21	2796.39	2399.97	2290.28	2324.49	1993.08	3288.19	3399.76	2672.3	1823.01
ENSG00000004399	1724.15	1900.21	2658.3	2421.46	2302.76	2760.56	715.487	543.962	7207.52	7520.43
ENSG00000004455	3661.75	3312	3635.02	4059.77	2128.97	2172.86	2555.14	3518.37	2840.7	2568.97
ENSG00000004468	11.6431	11.78	1.23013	5.91803	2.89656	6.38807	0	0	70.5175	158.204
ENSG00000004478	11175.4	14493.9	5967.34	4816.29	4328.18	4191.49	4823.39	6683.99	3036.46	2211.71
ENSG00000004487	15375.7	17434.4	11306.1	10422.6	11281.4	11015.8	6489.73	6875.19	5330.92	4325.98
ENSG00000004534	3284.32	3316.53	2700.13	2735.11	3615.63	3835.58	2304.55	2868	3778.99	4377.31
ENSG00000004660	314.363	315.342	97.1799	94.6884	129.621	125.024	189.703	270.959	589.4	384.508
ENSG00000004700	2152.03	2450.24	1855.03	1605.76	1767.63	1716.57	836.101	828.213	1294.58	1532.79
ENSG00000004766	402.657	458.514	455.146	450.756	651.002	671.66	1159.3	1341.5	1198.8	1192.29
ENSG00000004776	4.85128	2.71846	3.69038	3.94535	9.41382	10.0384	18.7361	16.3598	294.7	381.365
ENSG00000004777	311.452	236.506	343.205	360.013	364.966	339.48	175.651	216.767	775.693	782.636
ENSG00000004779	2404.3	2697.62	1986.65	1874.04	1779.94	1559.6	3412.32	3157.44	3193.29	1770.62
ENSG00000004799	0	0.906155	3.69038	7.8907	3.6207	0	46.8404	15.3373	1425.09	775.302
ENSG00000004809	2.91077	4.53077	0	1.97268	2.89656	1.82516	1.17101	1.02249	0	3.14312
