	SRX22253792	SRX22253793	SRX22253794	SRX22253795	SRX22253796	SRX22253797	SRX22253798	SRX22253799	SRX22253800	SRX22253801	SRX22253802	SRX22253803	SRX22253804	SRX22253805	SRX22253806	SRX22253807	SRX22253808	SRX22253809	SRX22253810	SRX22253811	SRX22253812
DDX11L1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WASH7P	107	131	175	123	228	152	108	208	187	135	99	367	224	231	229	166	210	111	118	127	169
MIR6859-1	1	0	6	5	6	2	5	1	0	1	1	7	2	5	3	0	2	2	0	1	2
MIR1302-2HG	0	0	1	1	7	0	0	1	1	2	3	6	3	2	2	2	2	0	1	5	2
MIR1302-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM138A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4F5	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
LOC124903816	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0
LOC124900384	26	31	17	20	32	13	19	23	7	5	14	10	8	20	9	13	16	14	19	21	24
LOC729737	626	750	339	490	609	297	329	451	279	245	237	581	424	699	316	281	370	427	553	520	445
LOC124903814	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX11L17	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1
LOC100996442	67	55	67	52	107	62	61	107	53	41	31	143	112	104	60	94	77	34	54	46	59
MIR6859-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
LOC127239154	22	27	17	23	30	21	16	37	39	33	42	22	29	29	31	21	43	6	9	16	16
LOC124903815	1	1	0	0	0	0	0	1	1	0	2	0	0	0	0	0	1	1	0	0	0
LOC124900618	1	0	0	0	1	0	1	2	0	0	1	0	1	1	0	1	7	1	0	0	0
LOC112268260	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
OR4F29	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
LOC100132287	1	1	2	0	1	0	1	0	1	0	2	2	0	1	1	1	3	0	1	0	2
LOC124904706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378947	0	1	0	3	0	2	0	2	0	1	0	1	1	3	0	1	5	1	0	0	0
LOC101928626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR12136	41	57	41	57	112	25	28	91	143	79	57	215	123	196	101	20	138	52	61	70	61
OR4F16	4	8	5	4	4	1	5	6	22	8	17	31	13	21	14	2	8	7	0	5	7
LOC100288069	155	83	141	158	176	112	112	175	113	101	95	134	119	131	148	63	133	94	113	86	155
LINC01409	22	14	34	13	37	23	12	36	16	8	17	19	14	18	4	17	12	20	32	13	32
LOC124903817	5	4	8	14	6	11	12	15	17	11	18	18	13	18	11	14	16	9	3	2	14
FAM87B	2	1	6	1	10	5	2	5	2	1	6	5	5	3	5	2	1	7	0	2	8
LINC00115	7	11	10	12	23	10	7	20	15	6	12	18	11	14	3	10	10	8	11	10	13
LINC01128	160	234	276	310	318	385	370	467	714	561	606	600	562	540	827	328	585	218	209	261	180
LOC107984850	1	2	0	2	2	1	2	2	5	2	8	4	2	3	5	1	4	1	0	1	6
FAM41C	1	1	1	0	0	0	1	0	1	0	1	1	1	1	2	0	0	1	0	1	1
LOC284600	38	28	337	305	551	351	347	533	68	81	100	352	311	297	709	321	238	28	38	26	47
LINC02593	1	1	89	105	181	77	131	154	21	27	46	115	63	80	156	61	53	0	0	0	4
LOC107985728	3	0	238	263	480	194	260	403	56	29	96	152	158	149	329	117	123	1	0	0	0
SAMD11	13	0	1020	1127	1690	663	673	1076	75	52	96	731	375	395	824	273	281	3	7	5	18
