	SRX2023641	SRX2023642	SRX2023643	SRX2023644	SRX2023645	SRX2023646	SRX2023647	SRX2023648	SRX2023649	SRX2023650	SRX2023651	SRX2023652	SRX2023653	SRX2023654	SRX2023655	SRX2023656	SRX2023657	SRX2023658	SRX2023660	SRX2023661	SRX2023662	SRX2023663	SRX2023664	SRX2023665	SRX2023666	SRX2023667
DDX11L1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
WASH7P	19	5	5	1	13	8	17	21	49	42	26	45	24	0	12	13	17	12	10	12	6	14	9	15	6	11
MIR6859-1	0	0	0	0	0	0	1	1	2	4	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0
MIR1302-2HG	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR1302-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM138A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4F5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
LOC124903816	0	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	5
LOC124900384	6	1	5	1	1	4	27	19	24	21	18	12	6	0	1	4	3	4	5	4	7	3	3	5	3	3
LOC729737	196	80	130	48	94	78	176	216	145	183	194	220	171	0	129	140	143	132	109	84	121	130	56	47	50	63
LOC124903814	0	0	0	0	0	0	1	0	1	3	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX11L17	4	1	0	0	1	0	2	2	4	4	11	1	2	0	2	4	3	4	1	2	0	1	1	0	1	0
LOC100996442	13	1	2	0	2	0	20	22	41	27	23	20	11	0	7	3	14	3	4	5	3	6	2	1	1	3
MIR6859-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC127239154	2	0	0	0	0	1	0	1	2	3	5	2	3	0	3	4	3	4	31	24	10	16	31	25	37	43
LOC124903815	0	2	1	0	0	0	1	0	0	3	1	3	1	0	0	0	0	0	9	8	1	9	7	6	7	12
LOC124900618	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112268260	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0
OR4F29	1	0	0	0	0	0	8	4	4	7	2	10	0	0	0	0	0	0	0	0	0	1	1	0	0	0
LOC100132287	10	2	13	4	11	7	83	71	77	93	100	88	36	0	21	39	26	41	15	21	7	11	9	12	9	12
LOC124904706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378947	0	0	0	0	0	0	10	5	15	15	10	8	3	0	0	0	3	0	0	1	0	0	0	0	2	0
LOC101928626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
MIR12136	0	0	0	0	0	0	14	0	7	51	26	38	1	0	0	2	0	0	0	0	0	0	0	0	0	0
OR4F16	2	1	2	0	2	0	8	11	12	9	35	12	2	0	0	2	0	2	1	0	2	2	4	3	3	5
LOC100288069	58	33	48	24	50	39	193	178	145	153	166	148	126	0	176	160	194	194	93	76	69	75	59	59	71	59
LINC01409	45	23	45	21	36	28	184	187	196	183	190	207	162	0	13	34	33	27	93	74	32	57	60	64	86	63
LOC124903817	11	2	10	8	6	3	131	121	125	115	161	163	134	0	16	18	20	42	46	52	14	38	54	66	58	63
FAM87B	13	3	4	2	1	1	71	96	91	83	103	113	96	0	17	19	17	51	42	46	14	34	35	41	42	47
LINC00115	10	3	2	0	0	4	28	18	56	33	45	34	33	0	6	3	6	11	14	14	5	3	6	11	12	8
LINC01128	150	98	127	62	141	109	217	251	634	589	804	740	726	0	680	604	537	546	1070	1111	595	755	1165	1202	1264	1321
LOC107984850	0	1	1	1	0	0	0	1	1	3	1	11	0	0	1	1	0	1	0	4	0	1	6	4	2	7
FAM41C	1	0	0	1	2	1	0	3	6	4	3	0	0	0	1	1	3	1	0	2	1	0	3	1	2	4
LOC284600	0	1	2	3	0	1	47	36	23	14	24	21	13	0	25	37	39	25	44	40	16	8	6	14	5	4
LINC02593	0	0	0	0	0	0	0	1	0	0	2	0	2	0	6	4	3	6	2	2	2	2	2	1	4	1
LOC107985728	0	0	0	0	0	0	6	7	8	6	10	11	11	0	38	46	40	26	8	19	8	15	11	8	3	8
SAMD11	1	1	0	0	0	0	11	20	3	12	15	15	14	0	140	186	137	134	46	47	52	52	18	16	9	7
NOC2L	132	100	111	47	137	109	136	167	220	225	254	213	234	0	148	145	199	184	52	42	68	71	59	47	43	49
KLHL17	36	18	41	17	33	15	37	44	40	31	43	41	37	0	44	34	22	36	19	22	16	23	7	4	3	5
PLEKHN1	1	5	1	0	2	4	0	0	7	2	1	4	1	0	1	4	0	2	1	0	1	0	0	1	0	0
PERM1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HES4	1	0	0	0	0	1	0	1	13	15	11	12	10	0	20	27	42	26	22	18	33	36	8	8	7	8
ISG15	42	25	26	15	29	32	8	4	133	117	79	78	66	0	25	29	63	81	48	41	70	78	35	50	33	58
AGRN	434	258	288	143	320	213	194	245	884	775	896	964	836	0	550	776	1070	1068	273	249	361	351	233	242	333	312
LOC100288175	2	3	0	3	2	0	1	5	5	1	9	0	7	0	2	0	4	4	0	3	0	0	2	0	2	0
LOC105378948	1	0	1	0	0	0	1	0	1	0	0	1	0	0	1	0	0	0	3	6	1	0	0	0	1	0
RNF223	0	0	0	0	0	0	0	0	0	1	3	1	2	0	0	1	1	1	2	1	2	0	0	2	0	0
C1orf159	40	25	23	12	31	20	51	42	100	96	103	103	95	0	68	57	64	54	24	24	28	21	16	17	13	20
LOC124903819	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
