	SRX3375391	SRX3375392	SRX3375393	SRX3375394	SRX3375395	SRX3375396	SRX3375397	SRX3375398	SRX3375399	SRX3375400
DDX11L1	0	0	0	0	0	0	0	0	1	0
WASH7P	38	55	61	95	111	65	60	96	101	54
MIR6859-1	1	1	0	3	6	4	1	2	2	1
MIR1302-2HG	0	0	0	0	1	1	0	0	0	0
MIR1302-2	0	0	0	0	0	0	0	0	0	0
FAM138A	0	0	0	0	0	0	0	0	0	0
OR4F5	0	0	0	0	0	0	0	0	0	0
LOC124903816	0	0	0	0	0	0	1	0	0	0
LOC124900384	13	6	6	3	10	6	2	1	6	3
LOC729737	66	22	29	19	32	32	15	19	4	11
LOC124903814	0	0	0	0	0	0	0	0	0	0
DDX11L17	5	0	5	6	8	10	1	1	1	6
LOC100996442	60	36	56	51	57	58	30	27	54	59
MIR6859-2	1	0	0	0	1	0	0	0	1	0
LOC127239154	0	0	0	0	0	0	0	3	10	11
LOC124903815	0	0	0	0	0	0	0	0	5	2
LOC124900618	0	0	0	0	2	0	0	0	1	0
LOC112268260	0	0	0	0	0	0	0	0	0	0
OR4F29	0	0	0	0	0	0	0	0	0	0
LOC100132287	2	1	0	1	0	2	0	2	0	1
LOC124904706	0	0	1	0	1	0	0	0	0	0
LOC105378947	0	0	0	0	0	0	0	0	0	0
LOC101928626	0	0	0	0	0	0	0	0	0	0
MIR12136	0	1	1	0	0	0	1	0	1	2
OR4F16	0	0	1	0	1	1	2	0	4	9
LOC100288069	50	30	24	49	78	64	21	39	65	89
LINC01409	50	31	27	25	42	52	10	14	42	112
LOC124903817	8	3	6	6	20	28	11	7	47	50
FAM87B	11	5	8	11	27	35	16	14	33	49
LINC00115	29	27	18	36	34	47	9	16	33	35
LINC01128	130	148	72	76	301	293	934	1320	1801	1162
LOC107984850	0	0	0	0	1	1	3	4	6	5
FAM41C	1	1	0	0	1	3	1	1	0	3
LOC284600	6	8	30	48	262	288	51	58	62	175
LINC02593	0	0	0	7	117	86	45	66	18	26
LOC107985728	0	1	5	19	373	315	119	178	57	118
SAMD11	11	10	90	185	1397	1126	427	456	262	342
NOC2L	3186	4210	2166	2823	2509	2002	1857	2215	1363	1000
KLHL17	439	398	313	620	575	411	163	232	128	154
PLEKHN1	17	17	18	30	31	20	5	10	3	11
PERM1	0	0	1	1	1	1	0	3	1	1
HES4	30	29	24	25	574	621	272	400	759	666
ISG15	209	256	148	141	283	166	408	669	140	125
AGRN	4716	5285	3629	3941	13189	10046	6494	6074	4538	4699
LOC100288175	30	13	26	26	8	2	7	13	0	4
LOC105378948	11	1	10	27	25	21	11	13	6	4
RNF223	0	0	2	3	5	4	4	6	0	3
C1orf159	224	233	193	181	421	302	137	157	162	181
LOC124903819	1	0	1	1	1	0	0	0	4	9
LOC124903820	17	15	16	23	35	16	3	2	5	7
LINC01342	1	2	0	0	0	0	0	0	0	4
LOC124903818	45	70	67	231	227	225	9	1	1	42
MIR200B	0	0	0	0	0	0	0	0	0	0
MIR200A	0	0	0	0	0	0	0	0	0	0
MIR429	0	0	0	0	0	0	0	0	0	0
TTLL10-AS1	2	0	4	0	5	5	0	0	0	2
TTLL10	8	5	4	9	8	5	1	0	3	9
TNFRSF18	9	11	42	35	8	3	4	2	3	5
TNFRSF4	3	1	7	4	1	6	1	0	26	15
SDF4	1437	1686	1586	1874	2573	1638	2256	2449	1751	1472
B3GALT6	504	725	632	786	1506	1186	956	1112	706	611
C1QTNF12	36	17	27	32	45	52	15	13	27	30
UBE2J2	982	1210	597	777	1113	833	695	764	704	691
SCNN1D	41	31	41	83	167	163	80	141	127	132
ACAP3	505	667	229	309	789	617	965	1273	1181	1066
MIR6726	0	0	0	0	0	0	0	0	0	0
SNORD167	5	2	2	1	5	8	2	7	10	15
PUSL1	646	784	252	373	364	319	163	195	184	148
INTS11	1415	1753	1398	2173	2015	1645	773	833	1309	1145
MIR6727	0	0	0	0	0	0	0	0	0	0
CPTP	222	318	202	332	348	276	598	700	528	341
TAS1R3	85	96	68	109	167	114	50	53	61	86
DVL1	1704	1805	1566	2344	1828	1486	944	1073	866	663
MIR6808	0	0	0	0	0	0	0	0	0	0
MXRA8	115	166	712	1547	3788	2981	944	865	728	949
AURKAIP1	1647	2445	1093	1287	1586	1081	1566	1805	1144	802
CCNL2	1759	1749	1655	2492	4016	3765	1327	1649	3316	4035
MRPL20-AS1	237	391	171	258	530	388	326	370	268	233
MRPL20	1035	1383	624	778	964	739	796	868	806	616
MRPL20-DT	86	126	87	97	137	112	35	54	84	92
ANKRD65	24	25	30	46	52	48	5	12	13	25
ANKRD65-AS1	7	6	9	13	22	18	1	4	2	8
TMEM88B	21	40	47	45	25	19	0	10	7	12
LINC01770	28	40	39	66	25	16	27	27	9	7
LOC107985729	48	32	55	59	24	22	14	21	7	12
VWA1	646	996	1072	1635	483	261	352	368	538	445
ATAD3C	11	6	6	6	7	2	4	4	9	12
ATAD3B	1278	1968	488	630	1041	879	359	412	729	711
ATAD3A	1100	1684	532	678	795	702	832	1002	470	425
TMEM240	40	30	32	60	66	60	70	94	44	37
SSU72	2137	2342	1253	1602	1755	1300	1321	1372	1160	897
FNDC10	219	191	73	103	81	54	232	303	61	71
LOC105378586	3	3	0	1	0	1	3	8	1	4
MIB2	348	352	285	439	680	551	660	654	726	538
LOC124903821	40	46	247	572	99	112	18	40	115	120
MMP23B	39	33	212	438	175	140	8	12	98	144
CDK11B	605	599	447	526	638	484	395	452	454	381
SLC35E2B	1308	1502	1016	1480	2388	1801	1370	1411	2294	1907
MMP23A	1	0	0	2	1	0	1	2	4	2
CDK11A	110	102	71	110	159	123	74	72	159	220
SLC35E2A	256	229	177	300	471	408	282	342	863	830
LOC112268218	1	0	3	2	0	0	0	2	3	1
NADK	1190	1368	534	690	1323	1043	697	875	701	694
GNB1	7327	6789	5582	7031	7573	6063	5056	5539	5690	5291
GNB1-DT	9	9	3	11	23	18	11	5	20	16
LOC124903822	10	5	8	16	8	7	4	4	3	12
CALML6	12	4	2	3	5	5	1	1	2	2
TMEM52	154	171	66	87	56	39	19	29	7	5
CFAP74	1	3	7	12	6	8	4	5	1	4
LOC107984872	0	0	0	1	1	0	0	1	1	1
LOC105378589	15	12	14	16	0	1	0	0	13	8
GABRD	21	10	16	20	0	0	0	1	31	26
LOC105378590	7	3	1	0	1	0	0	1	0	1
PRKCZ	509	530	467	634	558	381	377	579	409	366
PRKCZ-DT	0	4	1	0	7	5	0	1	0	1
PRKCZ-AS1	26	23	22	23	54	46	18	14	39	40
FAAP20	502	502	457	657	737	500	532	511	342	365
LOC112268219	73	94	54	111	115	105	43	58	56	84
LOC105378593	5	4	4	6	15	13	1	7	13	7
LOC124903823	0	0	0	0	0	1	0	0	2	4
SKI	2498	2021	1414	1846	2426	2020	1263	1117	2788	3309
LOC124903824	33	46	101	124	236	161	36	64	45	48
MORN1	98	109	204	253	400	349	170	175	144	203
LOC100129534	14	28	62	50	85	67	65	82	27	55
RER1	1259	1635	1028	1386	1583	1246	1215	1398	1212	1001
PEX10	263	435	373	513	623	485	309	323	401	293
PLCH2	38	31	29	46	108	84	34	43	24	61
PANK4	803	754	535	675	1169	872	913	1222	1121	781
HES5	0	1	1	1	1	0	0	3	31	25
TNFRSF14-AS1	2	1	2	0	5	4	1	0	9	9
TNFRSF14	2	3	8	9	6	3	1	1	129	107
LOC100996583	1	2	6	9	16	12	4	2	7	13
PRXL2B	554	732	294	364	496	417	491	714	432	340
MMEL1	2	2	2	2	3	1	0	1	1	10
MMEL1-AS1	1	0	0	0	0	1	0	0	3	2
TTC34	9	2	5	12	26	17	5	8	66	75
LOC105378602	0	0	0	0	0	0	0	0	0	0
LOC105378601	0	0	0	0	0	0	0	0	0	0
LOC112268220	0	0	0	0	0	0	0	0	0	0
LOC107985732	0	0	0	0	0	0	0	0	0	0
LOC105378600	0	0	0	0	0	0	0	0	0	0
LOC105378598	0	0	0	0	0	0	0	0	0	0
LOC107984904	0	0	0	0	0	0	0	0	0	0
LOC105378599	0	0	0	0	0	0	0	0	0	0
LOC124903825	0	0	0	0	0	0	0	0	0	0
LOC124903826	0	0	0	0	0	0	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0	0	0
LOC124903827	0	1	0	0	2	1	79	309	571	838
PRDM16-DT	0	0	0	0	0	0	0	0	0	0
PRDM16	16	15	15	19	32	31	258	674	906	828
MIR4251	0	0	0	0	0	0	0	0	3	4
LOC105378606	0	0	0	0	0	0	0	0	5	7
LOC107984909	1	0	0	0	0	0	12	28	111	137
LOC105378605	0	0	0	0	0	0	1	3	12	31
LOC124903828	0	1	0	0	1	3	79	65	511	774
LOC105378604	2	1	0	0	3	5	32	37	164	247
ARHGEF16	491	717	627	1026	615	431	195	309	25	82
MEGF6	1046	1115	825	1010	2336	1802	501	464	1363	3412
LOC105378608	9	4	2	4	8	10	1	1	1	16
MIR551A	4	2	3	0	1	1	1	0	2	1
TPRG1L	402	318	357	517	508	434	443	447	532	464
WRAP73	528	582	288	322	463	326	223	297	220	240
TP73	158	100	55	105	87	95	15	25	33	72
TP73-AS3	2	0	0	0	2	1	0	1	4	2
TP73-AS1	1188	1238	576	861	1457	1122	695	801	910	775
CCDC27	12	13	8	19	32	16	21	28	39	23
SMIM1	43	41	37	40	65	54	97	88	116	74
LRRC47	3221	3342	1790	2310	2255	1669	2512	3133	1772	1328
CEP104	817	816	743	965	921	755	711	829	715	734
LOC124903829	11	11	11	13	26	28	5	3	29	23
DFFB	231	333	134	142	187	174	100	150	117	144
C1orf174	800	840	489	611	812	650	356	355	415	523
LINC01134	4	7	5	5	6	3	1	1	2	7
LINC01346	0	0	0	0	0	0	0	0	0	0
LINC01345	0	0	0	0	0	0	0	0	0	0
LINC01777	0	0	0	0	0	0	0	0	0	0
LOC105376674	0	0	0	0	0	0	0	0	0	0
LOC124904578	0	0	0	0	0	0	0	0	0	0
LINC01646	0	0	0	0	0	0	0	0	0	0
AJAP1	114	97	33	59	16	19	1	0	23	32
LINC02781	0	0	0	0	0	0	0	0	0	0
LOC124904589	0	0	0	0	0	0	0	0	0	0
LOC102724429	0	1	0	0	0	0	0	0	0	0
LINC02782	3	4	0	0	0	0	0	0	0	0
LOC105376682	0	2	0	0	0	1	0	0	0	0
LOC124904590	0	3	1	0	0	0	0	0	0	0
LOC107984911	0	0	0	1	0	0	0	0	0	0
LOC105376686	0	0	0	0	0	0	0	0	0	0
LOC124900451	0	0	0	0	0	0	0	0	0	0
LOC124903830	1	0	0	1	0	1	0	0	1	2
MIR4689	1	1	0	0	0	1	0	0	2	3
NPHP4	327	268	326	496	663	528	220	240	293	272
KCNAB2	336	179	375	548	213	151	51	87	80	109
LOC124903831	0	1	0	2	0	2	0	0	0	2
CHD5	64	57	13	14	11	15	4	5	8	58
RPL22	5187	4804	4807	5986	8174	6906	2245	2664	4349	3593
RNF207-AS1	2	5	2	2	4	4	14	41	63	47
RNF207	69	75	34	44	82	86	1052	1516	7146	4830
ICMT	4401	5836	1967	2079	3850	2872	2368	2875	2981	2506
ICMT-DT	70	88	43	53	31	27	9	14	7	2
HES3	101	142	0	2	1	0	0	0	0	4
GPR153	320	332	82	74	219	167	473	673	586	669
ACOT7	1984	2130	610	505	677	414	304	428	357	340
HES2	20	35	9	7	1	2	4	0	7	3
ESPN	607	350	130	160	92	68	61	79	15	118
MIR4252	0	1	0	0	0	0	0	0	0	0
TNFRSF25	169	189	88	142	275	219	48	88	131	163
PLEKHG5	759	788	443	673	1504	1297	314	515	479	633
NOL9	2022	2870	1379	1615	2219	1769	1663	1787	1840	1548
TAS1R1	8	2	4	10	16	11	0	0	0	4
LOC107984912	1	0	0	0	0	1	0	0	0	0
ZBTB48	266	387	268	340	535	385	302	358	338	313
KLHL21	982	1468	347	390	1007	802	3003	2957	2566	1724
LOC107984913	10	10	13	19	79	77	162	128	114	111
PHF13	847	1084	670	1108	2134	1509	1096	1183	1035	916
