Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_line,cell_type,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,genotype,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study
SRR26552100,RNA-Seq,202,5583984980,PRJNA1032897,SAMN38022234,1785004676,PGP1,iPSC-derived Mesoderm,HARVARD MEDICAL SCHOOL,missing,public,"run.zq,fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX22253812,wild type,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7868495,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-10-31T00:00:00Z,2023-10-27T19:36:00Z,1,GSM7868495,PGP1,SRP468886
SRR26552101,RNA-Seq,202,5452534086,PRJNA1032897,SAMN38022235,1737751301,PGP1,iPSC,HARVARD MEDICAL SCHOOL,missing,public,"fastq,sra,run.zq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX22253811,wild type,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7868494,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-10-31T00:00:00Z,2023-10-27T19:35:00Z,1,GSM7868494,PGP1,SRP468886
SRR26552102,RNA-Seq,202,5929893214,PRJNA1032897,SAMN38022236,1886239138,PGP1,iPSC,HARVARD MEDICAL SCHOOL,missing,public,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX22253810,wild type,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7868493,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-10-31T00:00:00Z,2023-10-27T19:34:00Z,1,GSM7868493,PGP1,SRP468886
SRR26552103,RNA-Seq,202,5079545328,PRJNA1032897,SAMN38022237,1614818364,PGP1,iPSC,HARVARD MEDICAL SCHOOL,missing,public,"run.zq,fastq,sra","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX22253809,wild type,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7868492,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-10-31T00:00:00Z,2023-10-27T19:35:00Z,1,GSM7868492,PGP1,SRP468886
SRR26552104,RNA-Seq,202,7297265554,PRJNA1032897,SAMN38022217,2295330337,PGP1,iPSC-derived Cardiomyocyte,HARVARD MEDICAL SCHOOL,missing,public,"sra,fastq,run.zq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX22253808,UBE2B-/- strain 2,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7868512,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-10-31T00:00:00Z,2023-10-27T19:40:00Z,1,GSM7868512,PGP1,SRP468886
SRR26552105,RNA-Seq,202,6314592114,PRJNA1032897,SAMN38022218,2003434748,PGP1,iPSC-derived Cardiomyocyte,HARVARD MEDICAL SCHOOL,missing,public,"fastq,sra,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX22253807,UBE2B-/- strain 2,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7868511,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-10-31T00:00:00Z,2023-10-27T19:37:00Z,1,GSM7868511,PGP1,SRP468886
SRR26552106,RNA-Seq,202,7853314590,PRJNA1032897,SAMN38022219,2460610779,PGP1,iPSC-derived Cardiomyocyte,HARVARD MEDICAL SCHOOL,missing,public,"fastq,sra,run.zq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.us-east1",SRX22253806,UBE2B-/- strain 2,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7868510,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-10-31T00:00:00Z,2023-10-27T19:44:00Z,1,GSM7868510,PGP1,SRP468886
SRR26552107,RNA-Seq,202,7537611820,PRJNA1032897,SAMN38022220,2372208958,PGP1,iPSC-derived Cardiomyocyte,HARVARD MEDICAL SCHOOL,missing,public,"sra,fastq,run.zq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX22253805,UBE2B-/- strain 1,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7868509,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-10-31T00:00:00Z,2023-10-27T19:40:00Z,1,GSM7868509,PGP1,SRP468886
SRR26552108,RNA-Seq,202,7267698410,PRJNA1032897,SAMN38022221,2277615220,PGP1,iPSC-derived Cardiomyocyte,HARVARD MEDICAL SCHOOL,missing,public,"run.zq,fastq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX22253804,UBE2B-/- strain 1,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7868508,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-10-31T00:00:00Z,2023-10-27T19:38:00Z,1,GSM7868508,PGP1,SRP468886
SRR26552109,RNA-Seq,202,8152868672,PRJNA1032897,SAMN38022222,2609854763,PGP1,iPSC-derived Cardiomyocyte,HARVARD MEDICAL SCHOOL,missing,public,"fastq,sra,run.zq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX22253803,UBE2B-/- strain 1,uncalculated,uncalculated,missing,Illumina NovaSeq 6000,GSM7868507,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-10-31T00:00:00Z,2023-10-27T19:41:00Z,1,GSM7868507,PGP1,SRP468886
