Run,Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,replicate,create_date,version,Sample Name,source_name,SRA Study,Stage,cell_type,tissue,chip-seq_antibody
SRR5117000,RNA-Seq,GCA_000001405.16,297,10242126452,PRJNA324109,SAMN06160763,2481019601,GEO,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2432193,GSM2430853,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-11-28T00:00:00Z,1,2016-12-16T16:21:00Z,1,GSM2430853,fibroblasts,SRP075977,day 30,hiPSC-CMs (Overexpression Control),,
SRR5117001,RNA-Seq,GCA_000001405.16,294,7908852724,PRJNA324109,SAMN06160780,2134272461,GEO,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2432194,GSM2430854,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-11-28T00:00:00Z,1,2016-12-16T16:04:00Z,1,GSM2430854,fibroblasts,SRP075977,day 30,hiPSC-CMs (Gene-edited Control),,
SRR5117002,RNA-Seq,GCA_000001405.16,295,14941261642,PRJNA324109,SAMN06160782,3412722604,GEO,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2432195,GSM2430855,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-11-28T00:00:00Z,2,2016-12-16T16:21:00Z,1,GSM2430855,fibroblasts,SRP075977,day 30,hiPSC-CMs (Gene-edited Control),,
SRR5117003,RNA-Seq,GCA_000001405.16,297,10689325913,PRJNA324109,SAMN06160781,2777795858,GEO,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2432196,GSM2430856,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-11-28T00:00:00Z,2,2016-12-16T16:19:00Z,1,GSM2430856,fibroblasts,SRP075977,day 30,hiPSC-CMs (Overexpression Control),,
SRR5117004,RNA-Seq,GCA_000001405.16,297,12552947660,PRJNA324109,SAMN06160758,2777058571,GEO,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2432197,GSM2430857,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-11-28T00:00:00Z,1,2016-12-16T16:20:00Z,1,GSM2430857,fibroblasts,SRP075977,day 30,hiPSC-CMs (HEY2 Gene-editedl),,
SRR5117005,RNA-Seq,GCA_000001405.16,297,8239784718,PRJNA324109,SAMN06160757,1965600915,GEO,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2432198,GSM2430858,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-11-28T00:00:00Z,2,2016-12-16T16:06:00Z,1,GSM2430858,fibroblasts,SRP075977,day 30,hiPSC-CMs (HEY2 Gene-editedl),,
SRR5117006,RNA-Seq,GCA_000001405.16,297,13370686674,PRJNA324109,SAMN06160756,3003396316,GEO,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2432199,GSM2430859,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-11-28T00:00:00Z,3,2016-12-16T16:27:00Z,1,GSM2430859,fibroblasts,SRP075977,day 30,hiPSC-CMs (HEY2 Gene-editedl),,
SRR5117007,RNA-Seq,GCA_000001405.16,297,8348038821,PRJNA324109,SAMN06160783,2046936730,GEO,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2432200,GSM2430860,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-11-28T00:00:00Z,4,2016-12-16T16:13:00Z,1,GSM2430860,fibroblasts,SRP075977,day 30,hiPSC-CMs (HEY2 Gene-editedl),,
SRR5117008,RNA-Seq,GCA_000001405.16,298,12160807227,PRJNA324109,SAMN06160779,2835328054,GEO,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2432201,GSM2430861,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-11-28T00:00:00Z,1,2016-12-16T16:24:00Z,1,GSM2430861,fibroblasts,SRP075977,day 30,hiPSC-CMs (HEY2 Overexpression),,
SRR5117009,RNA-Seq,GCA_000001405.16,297,9597863413,PRJNA324109,SAMN06160778,2297124619,GEO,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX2432202,GSM2430862,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2018-11-28T00:00:00Z,2,2016-12-16T16:15:00Z,1,GSM2430862,fibroblasts,SRP075977,day 30,hiPSC-CMs (HEY2 Overexpression),,
