Run,Assay Type,AssemblyName,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,differentiation_stage,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Passages,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study
SRR4032133,RNA-Seq,GCA_000001405.13,174,2477963808,PRJNA339027,SAMN05578099,857305527,embryonic stem cell,GEO,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",undifferentiated,SRX2023641,GSM2279916,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,40-60,ILLUMINA,2016-12-15T00:00:00Z,2016-08-15T14:36:00Z,1,GSM2279916,H7 embryonic stem cell,SRP082270
SRR4032134,RNA-Seq,GCA_000001405.13,173,1695133480,PRJNA339027,SAMN05578098,632731118,induced pluripotent stem cell,GEO,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",undifferentiated,SRX2023642,GSM2279917,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,20-30,ILLUMINA,2016-12-15T00:00:00Z,2016-08-15T14:35:00Z,1,GSM2279917,induced pluripotent stem cell 3.2,SRP082270
SRR4032135,RNA-Seq,GCA_000001405.13,173,2082460103,PRJNA339027,SAMN05578097,716754050,induced pluripotent stem cell,GEO,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",undifferentiated,SRX2023643,GSM2279918,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,20-30,ILLUMINA,2016-12-15T00:00:00Z,2016-08-15T14:37:00Z,1,GSM2279918,induced pluripotent stem cell 1.8,SRP082270
SRR4032136,RNA-Seq,GCA_000001405.13,171,1170868242,PRJNA339027,SAMN05578096,420184507,induced pluripotent stem cell,GEO,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",undifferentiated,SRX2023644,GSM2279919,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,20-30,ILLUMINA,2016-12-15T00:00:00Z,2016-08-15T14:34:00Z,1,GSM2279919,induced pluripotent stem cell 5.6,SRP082270
SRR4032137,RNA-Seq,GCA_000001405.13,173,2230118342,PRJNA339027,SAMN05578095,805940757,induced pluripotent stem cell,GEO,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",undifferentiated,SRX2023645,GSM2279920,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,20-30,ILLUMINA,2016-12-15T00:00:00Z,2016-08-15T14:39:00Z,1,GSM2279920,induced pluripotent stem cell 2.6,SRP082270
SRR4032138,RNA-Seq,GCA_000001405.13,174,1854791639,PRJNA339027,SAMN05578094,650685247,induced pluripotent stem cell,GEO,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",undifferentiated,SRX2023646,GSM2279921,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,20-30,ILLUMINA,2016-12-15T00:00:00Z,2016-08-15T14:38:00Z,1,GSM2279921,induced pluripotent stem cell 4.2,SRP082270
SRR4032139,RNA-Seq,GCA_000001405.13,178,7311827518,PRJNA339027,SAMN05578093,3147889973,ES-derived mesoderm,GEO,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Differentiation D3,SRX2023647,GSM2279922,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,40-60,ILLUMINA,2016-12-15T00:00:00Z,2016-08-15T15:29:00Z,1,GSM2279922,mesoderm H7-derived,SRP082270
SRR4032140,RNA-Seq,GCA_000001405.13,177,7962799945,PRJNA339027,SAMN05578092,3432072632,ES-derived mesoderm,GEO,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Differentiation D3,SRX2023648,GSM2279923,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,40-60,ILLUMINA,2016-12-15T00:00:00Z,2016-08-15T15:04:00Z,1,GSM2279923,mesoderm H7-derived,SRP082270
SRR4032141,RNA-Seq,GCA_000001405.13,174,10229567613,PRJNA339027,SAMN05578091,4424547948,ES-derived cardiac progenitor,GEO,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Differentiation D7,SRX2023649,GSM2279924,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,40-60,ILLUMINA,2016-12-15T00:00:00Z,2016-08-15T15:10:00Z,1,GSM2279924,cardiac progenitor H7-derived,SRP082270
SRR4032142,RNA-Seq,GCA_000001405.13,173,10218684728,PRJNA339027,SAMN05578090,4425841714,ES-derived cardiac progenitor,GEO,public,"bam,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",Differentiation D7,SRX2023650,GSM2279925,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Homo sapiens,40-60,ILLUMINA,2016-12-15T00:00:00Z,2016-08-15T16:56:00Z,1,GSM2279925,cardiac progenitor H7-derived,SRP082270
