Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_line,cell_type,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Day,experiment_number,Experiment,Instrument,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study
SRR19310094,RNA-Seq,101,2601528508,PRJNA839709,SAMN28547925,973233658,MLC2V,pluripotent stem cell line,"BIOINFORMATICS & BIOSTATISTICS, THE FRANCIS CRICK INSTITUTE",public,"run.zq,sra,fastq","gs,s3,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",60,h42,SRX15370401,Illumina HiSeq 4000,GSM6170635,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-04-24T00:00:00Z,2022-05-20T00:58:00Z,1,GSM6170635,pluripotent stem cell line,SRP376095
SRR19310095,RNA-Seq,101,2519965958,PRJNA839709,SAMN28547926,941461330,MLC2V,pluripotent stem cell line,"BIOINFORMATICS & BIOSTATISTICS, THE FRANCIS CRICK INSTITUTE",public,"sra,run.zq,fastq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",40,h42,SRX15370400,Illumina HiSeq 4000,GSM6170634,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-04-24T00:00:00Z,2022-05-20T00:59:00Z,1,GSM6170634,pluripotent stem cell line,SRP376095
SRR19310096,RNA-Seq,101,2958360397,PRJNA839709,SAMN28547927,1097857893,MLC2V,pluripotent stem cell line,"BIOINFORMATICS & BIOSTATISTICS, THE FRANCIS CRICK INSTITUTE",public,"run.zq,fastq,sra","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",20,h42,SRX15370399,Illumina HiSeq 4000,GSM6170633,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-04-24T00:00:00Z,2022-05-20T00:58:00Z,1,GSM6170633,pluripotent stem cell line,SRP376095
SRR19310097,RNA-Seq,101,3007739297,PRJNA839709,SAMN28547928,1116919091,MLC2V,pluripotent stem cell line,"BIOINFORMATICS & BIOSTATISTICS, THE FRANCIS CRICK INSTITUTE",public,"run.zq,fastq,sra","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",15,h42,SRX15370398,Illumina HiSeq 4000,GSM6170632,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-04-24T00:00:00Z,2022-05-20T00:59:00Z,1,GSM6170632,pluripotent stem cell line,SRP376095
SRR19310098,RNA-Seq,101,3000899779,PRJNA839709,SAMN28547929,1104932461,MLC2V,pluripotent stem cell line,"BIOINFORMATICS & BIOSTATISTICS, THE FRANCIS CRICK INSTITUTE",public,"run.zq,sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",10,h42,SRX15370397,Illumina HiSeq 4000,GSM6170631,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-04-24T00:00:00Z,2022-05-20T00:59:00Z,1,GSM6170631,pluripotent stem cell line,SRP376095
SRR19310099,RNA-Seq,101,2842665200,PRJNA839709,SAMN28547930,1053661194,MLC2V,pluripotent stem cell line,"BIOINFORMATICS & BIOSTATISTICS, THE FRANCIS CRICK INSTITUTE",public,"sra,fastq,run.zq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",6,h42,SRX15370396,Illumina HiSeq 4000,GSM6170630,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-04-24T00:00:00Z,2022-05-20T00:58:00Z,1,GSM6170630,pluripotent stem cell line,SRP376095
SRR19310100,RNA-Seq,101,2971676641,PRJNA839709,SAMN28547931,1100804628,MLC2V,pluripotent stem cell line,"BIOINFORMATICS & BIOSTATISTICS, THE FRANCIS CRICK INSTITUTE",public,"fastq,run.zq,sra","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",4,h42,SRX15370395,Illumina HiSeq 4000,GSM6170629,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-04-24T00:00:00Z,2022-05-20T00:59:00Z,1,GSM6170629,pluripotent stem cell line,SRP376095
SRR19310101,RNA-Seq,101,2669601498,PRJNA839709,SAMN28547932,984493469,MLC2V,pluripotent stem cell line,"BIOINFORMATICS & BIOSTATISTICS, THE FRANCIS CRICK INSTITUTE",public,"sra,run.zq,fastq","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",2,h42,SRX15370394,Illumina HiSeq 4000,GSM6170628,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-04-24T00:00:00Z,2022-05-20T00:59:00Z,1,GSM6170628,pluripotent stem cell line,SRP376095
SRR19310102,RNA-Seq,101,2362495444,PRJNA839709,SAMN28547933,882565919,MLC2V,pluripotent stem cell line,"BIOINFORMATICS & BIOSTATISTICS, THE FRANCIS CRICK INSTITUTE",public,"fastq,run.zq,sra","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",0,h42,SRX15370393,Illumina HiSeq 4000,GSM6170627,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-04-24T00:00:00Z,2022-05-20T00:59:00Z,1,GSM6170627,pluripotent stem cell line,SRP376095
SRR19310103,RNA-Seq,101,2686618584,PRJNA839709,SAMN28547934,1007389978,MLC2V,pluripotent stem cell line,"BIOINFORMATICS & BIOSTATISTICS, THE FRANCIS CRICK INSTITUTE",public,"sra,fastq,run.zq","ncbi,gs,s3","gs.us-east1,s3.us-east-1,ncbi.public",60,h18,SRX15370392,Illumina HiSeq 4000,GSM6170626,SINGLE,cDNA,TRANSCRIPTOMIC,Homo sapiens,ILLUMINA,2023-04-24T00:00:00Z,2022-05-20T01:00:00Z,1,GSM6170626,pluripotent stem cell line,SRP376095
