	day30_rep1_gfp_oe	day30_rep1_control	day30_rep1_epi	day30_rep2_gfp_oe	day30_rep1_hey2	day30_rep2_hey2_ge	day30_rep2_hey2	day30_rep1_hey2_ge	day30_rep2_hey2_oe	day30_rep1_hey2_oe	day30_rep1_tbx5	day30_rep3_tbx5_ge	day30_rep2_tbx5	day30_rep1_tbx5_ge	day30_rep2_tbx5_ge	day30_rep1_tbx5_oe	day30_rep2_tbx5_oe	day30_rep1_nr2f_ge	day30_rep2_nr2f_ge	day30_rep1_nr2f	day30_rep2_nr2f	day30_rep3_nr2f_ge	day30_rep4_nr2f_ge	day30_rep1_nr2f_oe
DDX11L1	0	0	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
WASH7P	569	557	823	394	698	478	936	512	544	465	420	374	624	304	356	484	466	948	431	412	645	557	466	499
MIR6859-1	2	5	2	0	1	2	0	2	9	1	1	4	1	4	2	1	2	0	5	3	2	6	9	3
MIR1302-2HG	1	0	1	1	0	0	4	2	1	0	0	0	0	0	0	0	4	2	1	3	2	1	2	2
MIR1302-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM138A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4F5	0	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124903816	0	0	1	0	0	4	0	1	1	0	1	7	1	0	0	0	0	0	0	0	0	0	0	0
LOC124900384	4	8	22	9	16	10	34	7	9	14	8	5	20	1	2	13	10	0	5	14	8	13	7	13
LOC729737	45	255	297	83	373	167	641	138	127	86	349	180	514	107	114	75	117	167	118	184	150	220	513	99
LOC124903814	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	1	0	1	0	0
DDX11L17	2	1	1	1	0	2	1	2	0	2	1	3	0	1	1	2	0	1	3	0	3	2	0	4
LOC100996442	187	145	371	113	280	186	387	184	135	112	174	162	335	142	156	192	153	214	170	177	252	185	104	178
MIR6859-2	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
LOC127239154	14	3	19	9	1	3	5	1	7	9	5	11	11	0	2	9	10	1	1	0	4	2	0	22
LOC124903815	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1
LOC124900618	1	2	1	0	3	0	3	1	0	0	1	2	4	0	1	2	1	0	1	1	2	0	1	0
LOC112268260	0	0	1	0	0	0	1	1	0	3	0	1	0	0	2	0	0	0	1	0	1	1	0	2
OR4F29	0	0	2	0	3	0	2	1	0	0	2	0	2	2	0	0	0	2	2	1	1	1	3	1
