sample_id;day;replicate;stage;cell line;condition
day30_rep1_gfp_oe;30.0;1;cardiomyocyte;hiPSC;gfp_oe
day30_rep1_control;30.0;1;cardiomyocyte;hiPSC;control
day30_rep1_epi;30.0;1;cardiomyocyte;hiPSC;epi
day30_rep2_gfp_oe;30.0;2;cardiomyocyte;hiPSC;gfp_oe
day30_rep1_hey2;30.0;1;cardiomyocyte;hiPSC;hey2
day30_rep2_hey2_ge;30.0;2;cardiomyocyte;hiPSC;hey2_ge
day30_rep2_hey2;30.0;2;cardiomyocyte;hiPSC;hey2
day30_rep1_hey2_ge;30.0;1;cardiomyocyte;hiPSC;hey2_ge
day30_rep2_hey2_oe;30.0;2;cardiomyocyte;hiPSC;hey2_oe
day30_rep1_hey2_oe;30.0;1;cardiomyocyte;hiPSC;hey2_oe
day30_rep1_tbx5;30.0;1;cardiomyocyte;hiPSC;tbx5
day30_rep3_tbx5_ge;30.0;3;cardiomyocyte;hiPSC;tbx5_ge
day30_rep2_tbx5;30.0;2;cardiomyocyte;hiPSC;tbx5
day30_rep1_tbx5_ge;30.0;1;cardiomyocyte;hiPSC;tbx5_ge
day30_rep2_tbx5_ge;30.0;2;cardiomyocyte;hiPSC;tbx5_ge
day30_rep1_tbx5_oe;30.0;1;cardiomyocyte;hiPSC;tbx5_oe
day30_rep2_tbx5_oe;30.0;2;cardiomyocyte;hiPSC;tbx5_oe
day30_rep1_nr2f_ge;30.0;1;cardiomyocyte;hiPSC;nr2f_ge
day30_rep2_nr2f_ge;30.0;2;cardiomyocyte;hiPSC;nr2f_ge
day30_rep1_nr2f;30.0;1;cardiomyocyte;hiPSC;nr2f
day30_rep2_nr2f;30.0;2;cardiomyocyte;hiPSC;nr2f
day30_rep3_nr2f_ge;30.0;3;cardiomyocyte;hiPSC;nr2f_ge
day30_rep4_nr2f_ge;30.0;4;cardiomyocyte;hiPSC;nr2f_ge
day30_rep1_nr2f_oe;30.0;1;cardiomyocyte;hiPSC;nr2f_oe
