	day0_rep1	day0_rep2	day2_rep1	day2_rep2	day5_rep1	day5_rep2	day14_rep1	day14_rep2	fetal_rep1	fetal_rep2
DDX11L1	0	0	0	0	0	0	0	0	2	0
WASH7P	79	111	121	182	187	149	148	203	184	97
MIR6859-1	2	5	3	5	9	14	2	3	4	2
MIR1302-2HG	2	4	0	1	2	0	0	2	1	2
MIR1302-2	0	0	0	0	0	0	0	0	0	0
FAM138A	0	0	0	0	0	0	0	0	0	0
OR4F5	0	0	0	0	0	0	0	0	0	0
LOC124903816	0	0	0	0	0	0	1	0	1	0
LOC124900384	19	12	6	7	15	8	1	3	5	3
LOC729737	119	43	54	38	47	58	23	26	9	19
LOC124903814	0	0	0	0	0	0	0	0	0	0
DDX11L17	11	2	11	12	20	15	1	2	4	11
LOC100996442	89	65	91	100	112	99	46	54	92	88
MIR6859-2	1	0	0	1	2	0	0	0	1	1
LOC127239154	0	0	0	1	0	0	1	1	11	14
LOC124903815	1	0	0	0	0	0	0	0	7	2
LOC124900618	1	0	1	1	1	0	1	1	3	1
LOC112268260	0	0	0	1	0	0	0	0	0	0
OR4F29	0	0	2	1	0	0	0	1	1	0
LOC100132287	19	7	14	10	6	7	10	19	22	13
LOC124904706	0	2	1	1	1	0	0	1	0	0
LOC105378947	0	0	1	0	0	0	0	1	1	2
LOC101928626	0	0	0	0	0	0	0	0	0	0
MIR12136	6	9	6	0	2	3	4	10	29	17
OR4F16	3	1	3	1	1	0	2	3	6	8
LOC100288069	73	60	63	84	132	122	51	69	104	137
LINC01409	77	39	41	32	66	89	17	22	58	152
LOC124903817	12	6	13	10	26	43	16	11	60	68
FAM87B	17	7	14	16	38	45	25	26	47	64
LINC00115	49	51	37	53	66	74	23	36	53	51
LINC01128	201	242	114	120	451	432	1462	1941	2450	1676
LOC107984850	1	0	1	1	3	1	5	5	13	8
FAM41C	1	1	2	1	1	3	2	2	3	3
LOC284600	20	16	51	68	393	439	74	84	108	281
LINC02593	0	0	2	11	180	151	87	106	23	48
LOC107985728	0	2	9	30	611	504	203	284	80	176
SAMD11	22	19	147	295	2068	1699	642	666	393	556
NOC2L	4742	6410	3348	4216	3797	2986	2846	3309	1873	1441
KLHL17	665	615	513	888	852	655	255	348	192	234
PLEKHN1	27	24	35	40	41	34	6	21	4	12
PERM1	0	0	1	1	3	2	2	7	3	3
HES4	39	38	31	30	794	867	381	557	1155	1025
ISG15	287	371	214	212	394	213	577	937	185	183
AGRN	7332	8316	5748	6146	20413	15672	10268	9325	6753	7257
LOC100288175	44	22	40	32	13	10	7	19	0	4
LOC105378948	17	5	17	38	49	33	12	21	8	7
RNF223	3	1	4	10	7	5	6	9	1	4
C1orf159	362	361	297	278	665	459	212	271	241	263
LOC124903819	0	1	0	1	2	2	1	0	7	16
LOC124903820	25	19	22	31	51	27	6	5	7	12
LINC01342	3	2	0	0	0	0	0	0	1	4
LOC124903818	71	116	113	372	374	359	14	2	2	58
MIR200B	0	0	0	0	0	0	0	0	0	0
MIR200A	0	0	0	0	0	0	0	0	0	0
MIR429	0	0	0	0	0	0	0	0	0	0
TTLL10-AS1	5	2	5	3	6	8	0	0	0	3
TTLL10	14	10	7	14	18	10	0	1	4	14
TNFRSF18	14	18	60	43	13	5	7	3	5	6
TNFRSF4	7	2	11	5	3	10	1	0	40	20
SDF4	2183	2506	2418	2818	3762	2451	3398	3669	2470	2185
B3GALT6	759	1068	907	1143	2263	1740	1410	1615	1067	988
C1QTNF12	57	30	40	46	64	67	29	20	30	44
UBE2J2	1491	1772	893	1153	1607	1251	1055	1117	945	980
SCNN1D	64	59	69	116	256	240	123	205	189	208
ACAP3	784	1022	367	479	1200	991	1476	1864	1707	1633
MIR6726	0	0	0	0	0	0	0	0	0	0
SNORD167	9	7	5	4	6	9	3	9	14	20
PUSL1	927	1133	381	546	533	446	240	276	259	221
INTS11	2205	2700	2190	3273	3083	2511	1177	1294	1833	1704
MIR6727	0	0	0	0	0	0	0	0	0	0
CPTP	334	460	328	478	543	417	909	1069	746	532
TAS1R3	160	131	107	168	247	189	87	66	89	139
DVL1	2760	2911	2498	3625	2836	2320	1430	1724	1316	1029
MIR6808	0	0	0	0	0	0	0	0	0	0
MXRA8	194	282	1155	2350	5921	4563	1511	1310	1052	1440
AURKAIP1	2478	3566	1667	1882	2293	1598	2306	2637	1596	1119
CCNL2	2528	2567	2391	3577	5759	5468	1949	2375	4376	5562
MRPL20-AS1	392	592	275	401	799	595	504	575	359	348
MRPL20	1377	1899	893	1055	1311	999	1092	1185	1006	814
MRPL20-DT	123	185	119	146	196	177	54	87	105	116
ANKRD65	30	41	52	65	83	57	15	16	16	39
