	CTRL_1	CTRL_2	CTRL_3	CTRL_4	CTRL_5	CTRL_6	CTRL_7	CTRL_8	CTRL_9	CTRL_10	CTRL_11	CTRL_12	EPI_1	EPI_2	EPI_3	EPI_4	GEF_1	GEF_2	GEF_3	GEF_4
DDX11L1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WASH7P	147	63	65	201	43	54	54	97	43	66	25	123	14	31	39	57	36	61	85	58
MIR6859-1	24	9	0	5	11	6	6	12	4	5	2	13	4	2	11	13	4	6	10	2
MIR1302-2HG	0	2	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
MIR1302-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM138A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4F5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0
LOC124903816	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	1	0	0
LOC124900384	8	7	3	11	7	7	9	6	4	9	1	5	0	1	11	3	1	1	8	3
LOC729737	809	525	320	267	280	356	444	637	409	494	220	868	51	81	402	368	144	343	384	245
LOC124903814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX11L17	0	0	0	1	0	0	0	0	0	0	0	0	0	3	1	14	0	0	0	0
LOC100996442	62	39	16	55	38	23	36	40	17	32	21	92	10	15	62	41	14	65	38	24
MIR6859-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC127239154	0	0	2	0	0	0	1	0	0	0	0	0	0	0	1	4	1	0	1	1
LOC124903815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124900618	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
LOC112268260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4F29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC100132287	4	0	1	0	2	2	3	10	3	10	0	0	0	1	3	4	1	1	7	4
LOC124904706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378947	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	1	0
LOC101928626	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
MIR12136	9	0	0	0	0	0	0	1	0	1	0	1	2	0	1	8	1	1	0	2
OR4F16	0	3	2	2	0	1	0	0	1	0	0	0	3	2	0	0	0	0	0	1
LOC100288069	71	60	50	74	64	72	80	112	46	81	21	114	20	16	41	46	30	78	102	65
LINC01409	68	36	24	43	22	33	21	23	23	29	27	41	4	4	9	10	11	37	30	25
LOC124903817	23	12	8	25	1	7	5	19	7	11	2	11	4	9	18	16	5	11	16	11
FAM87B	6	3	5	19	3	8	4	6	1	9	5	2	1	1	7	21	4	5	6	6
LINC00115	44	26	16	41	24	19	12	23	7	27	10	22	7	12	16	15	6	11	20	18
LINC01128	3035	1289	666	2330	1133	1147	986	2535	688	1768	556	1480	185	317	1151	1566	903	1159	1275	1521
LOC107984850	13	5	2	3	3	8	14	15	0	4	3	2	5	5	7	23	2	0	9	8
FAM41C	4	1	0	0	2	1	0	0	0	0	0	1	2	5	14	19	0	0	0	1
LOC284600	19	75	64	29	12	44	30	19	41	25	1	24	19	29	134	69	4	10	33	12
LINC02593	5	33	15	6	1	8	5	1	1	2	0	3	1	5	11	8	0	1	3	5
LOC107985728	5	40	22	14	5	6	17	6	18	10	1	9	9	14	46	47	0	5	8	5
SAMD11	31	159	98	32	10	29	46	15	41	28	3	19	23	27	122	84	1	10	16	18
NOC2L	2287	1991	966	2669	888	981	836	1826	658	1420	658	2050	381	500	991	837	453	1215	1040	695
KLHL17	313	162	86	217	101	92	103	131	106	109	21	148	40	66	247	197	20	93	102	76
PLEKHN1	16	4	6	10	1	4	5	1	2	2	1	2	6	10	76	52	0	3	4	1
PERM1	0	2	0	0	1	2	0	2	0	0	0	0	6	6	93	52	0	0	3	0
HES4	415	261	156	661	183	190	148	398	76	232	34	313	95	128	765	472	98	155	173	161
ISG15	654	391	229	9772	189	374	178	267	166	226	64	272	71	131	265	170	52	96	373	109
AGRN	5657	5805	3011	10760	2375	2383	2286	4463	1499	4378	1744	6620	3179	5306	9529	13500	929	3299	2315	1408
LOC100288175	10	39	18	7	5	7	4	7	5	6	2	10	4	6	27	27	0	2	9	2
LOC105378948	7	15	8	20	8	5	5	8	10	5	0	1	6	7	60	43	3	2	13	8
RNF223	0	13	9	2	1	1	2	0	0	2	0	0	5	2	61	56	0	1	0	0
C1orf159	258	227	122	201	90	123	129	259	109	150	51	233	24	41	223	207	60	122	133	67
LOC124903819	0	0	0	0	0	0	0	1	0	0	0	0	9	11	45	51	0	7	0	0
LOC124903820	3	0	0	1	0	0	0	0	0	0	0	0	0	4	14	15	1	0	0	0
LINC01342	0	0	0	0	1	0	0	0	0	0	0	0	4	0	24	15	0	0	0	0
LOC124903818	0	0	0	0	0	0	1	0	1	2	0	0	5	10	66	44	0	3	0	1
MIR200B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR200A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10-AS1	0	0	0	0	0	0	0	0	0	0	0	0	6	5	32	9	0	0	0	0
TTLL10	0	0	0	0	0	0	0	0	0	0	0	0	7	9	45	28	0	0	0	0
TNFRSF18	2	5	1	4	0	1	1	1	1	1	0	0	0	6	35	9	1	0	1	0
TNFRSF4	0	2	0	1	0	1	0	0	3	1	0	0	1	8	16	12	0	0	0	3
SDF4	4201	3096	1523	4603	1402	1707	1616	2949	1035	2285	813	3008	1662	2389	4951	5481	735	1582	1722	1244
B3GALT6	844	707	369	1023	336	374	361	669	219	460	215	849	38	48	111	141	149	490	359	246
C1QTNF12	26	26	26	52	9	17	11	36	23	17	6	13	7	17	57	44	6	17	20	14
UBE2J2	1417	1164	550	1216	505	697	548	1083	357	812	304	1115	108	175	373	322	308	780	569	432
SCNN1D	253	138	87	198	108	131	174	218	117	123	36	214	31	98	508	323	38	99	192	117
ACAP3	2477	1238	702	2881	932	856	913	1810	430	1137	395	2075	354	603	2063	1727	374	963	1014	828
MIR6726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD167	14	4	2	20	5	5	8	14	5	2	1	14	0	5	16	6	2	5	5	6
PUSL1	345	225	133	356	120	112	126	202	58	157	60	264	15	31	56	73	50	137	115	84
INTS11	2450	1703	955	1959	967	1096	1171	2092	657	1349	497	2039	240	331	1181	901	494	978	1262	829
