	CTRL_1	CTRL_2	CTRL_3	CTRL_4	CTRL_5	CTRL_6	CTRL_7	CTRL_8	CTRL_9	CTRL_10	CTRL_11	CTRL_12	DAU_1	DAU_2	DAU_3	DAU_4	GEF_1	GEF_2	GEF_3	GEF_4
DDX11L1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
WASH7P	43	97	123	63	65	201	54	54	147	43	66	25	59	53	40	68	58	85	61	36
MIR6859-1	11	12	13	9	0	5	6	6	24	4	5	2	4	3	4	14	2	10	6	4
MIR1302-2HG	0	0	0	2	0	0	0	0	0	0	0	0	0	2	5	1	0	0	0	1
MIR1302-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM138A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4F5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
LOC124903816	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
LOC124900384	7	6	5	7	3	11	7	9	8	4	9	1	0	0	3	5	3	8	1	1
LOC729737	280	637	868	525	320	267	356	444	809	409	494	220	43	27	147	107	245	384	343	144
LOC124903814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX11L17	0	0	0	0	0	1	0	0	0	0	0	0	5	7	0	2	0	0	0	0
LOC100996442	38	40	92	39	16	55	23	36	62	17	32	21	30	21	21	51	24	38	65	14
MIR6859-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC127239154	0	0	0	0	2	0	0	1	0	0	0	0	3	4	5	2	1	1	0	1
LOC124903815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
LOC124900618	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
LOC112268260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4F29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC100132287	2	10	0	0	1	0	2	3	4	3	10	0	4	0	1	8	4	7	1	1
LOC124904706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378947	0	0	0	0	0	0	0	0	0	0	0	0	3	1	0	1	0	1	1	0
LOC101928626	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
MIR12136	0	1	1	0	0	0	0	0	9	0	1	0	0	2	0	0	2	0	1	1
OR4F16	0	0	0	3	2	2	1	0	0	1	0	0	0	0	0	1	1	0	0	0
LOC100288069	64	112	114	60	50	74	72	80	71	46	81	21	37	18	35	55	65	102	78	30
LINC01409	22	23	41	36	24	43	33	21	68	23	29	27	10	10	26	7	25	30	37	11
LOC124903817	1	19	11	12	8	25	7	5	23	7	11	2	5	8	10	10	11	16	11	5
FAM87B	3	6	2	3	5	19	8	4	6	1	9	5	5	4	7	4	6	6	5	4
LINC00115	24	23	22	26	16	41	19	12	44	7	27	10	29	27	26	57	18	20	11	6
LINC01128	1133	2535	1480	1289	666	2330	1147	986	3035	688	1768	556	736	655	600	725	1521	1275	1159	903
LOC107984850	3	15	2	5	2	3	8	14	13	0	4	3	5	21	3	8	8	9	0	2
FAM41C	2	0	1	1	0	0	1	0	4	0	0	0	2	12	6	5	1	0	0	0
LOC284600	12	19	24	75	64	29	44	30	19	41	25	1	21	35	11	10	12	33	10	4
LINC02593	1	1	3	33	15	6	8	5	5	1	2	0	6	11	0	2	5	3	1	0
LOC107985728	5	6	9	40	22	14	6	17	5	18	10	1	18	16	8	11	5	8	5	0
SAMD11	10	15	19	159	98	32	29	46	31	41	28	3	56	30	18	35	18	16	10	1
NOC2L	888	1826	2050	1991	966	2669	981	836	2287	658	1420	658	2072	2898	1302	1522	695	1040	1215	453
KLHL17	101	131	148	162	86	217	92	103	313	106	109	21	100	254	60	229	76	102	93	20
PLEKHN1	1	1	2	4	6	10	4	5	16	2	2	1	5	6	11	11	1	4	3	0
PERM1	1	2	0	2	0	0	2	0	0	0	0	0	3	6	0	6	0	3	0	0
HES4	183	398	313	261	156	661	190	148	415	76	232	34	192	193	105	322	161	173	155	98
ISG15	189	267	272	391	229	9772	374	178	654	166	226	64	811	522	1423	349	109	373	96	52
AGRN	2375	4463	6620	5805	3011	10760	2383	2286	5657	1499	4378	1744	4222	3345	3798	4963	1408	2315	3299	929
LOC100288175	5	7	10	39	18	7	7	4	10	5	6	2	2	5	8	3	2	9	2	0
LOC105378948	8	8	1	15	8	20	5	5	7	10	5	0	1	2	0	6	8	13	2	3
RNF223	1	0	0	13	9	2	1	2	0	0	2	0	1	4	1	12	0	0	1	0
C1orf159	90	259	233	227	122	201	123	129	258	109	150	51	31	37	33	44	67	133	122	60
LOC124903819	0	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	7	0
LOC124903820	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	1	0	0	0	1
LINC01342	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124903818	0	0	0	0	0	0	0	1	0	1	2	0	0	0	0	1	1	0	3	0
MIR200B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR200A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
TTLL10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0
TNFRSF18	0	1	0	5	1	4	1	1	2	1	1	0	2	3	2	0	0	1	0	1
TNFRSF4	0	0	0	2	0	1	1	0	0	3	1	0	8	13	3	3	3	0	0	0
SDF4	1402	2949	3008	3096	1523	4603	1707	1616	4201	1035	2285	813	2415	2161	1512	2386	1244	1722	1582	735
B3GALT6	336	669	849	707	369	1023	374	361	844	219	460	215	228	303	237	246	246	359	490	149
C1QTNF12	9	36	13	26	26	52	17	11	26	23	17	6	25	23	22	20	14	20	17	6
UBE2J2	505	1083	1115	1164	550	1216	697	548	1417	357	812	304	767	695	605	732	432	569	780	308
SCNN1D	108	218	214	138	87	198	131	174	253	117	123	36	417	393	255	586	117	192	99	38
ACAP3	932	1810	2075	1238	702	2881	856	913	2477	430	1137	395	861	957	758	1654	828	1014	963	374
MIR6726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD167	5	14	14	4	2	20	5	8	14	5	2	1	2	9	2	9	6	5	5	2
PUSL1	120	202	264	225	133	356	112	126	345	58	157	60	67	80	42	94	84	115	137	50
INTS11	967	2092	2039	1703	955	1959	1096	1171	2450	657	1349	497	835	576	943	1093	829	1262	978	494
MIR6727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPTP	302	735	599	530	318	680	312	292	855	195	519	149	223	216	180	286	252	317	346	182
TAS1R3	28	69	34	26	16	50	40	39	56	22	27	11	61	85	41	142	24	34	10	16
DVL1	422	1077	931	857	465	1130	532	517	1361	355	613	253	158	153	385	278	363	524	469	234
MIR6808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MXRA8	154	294	153	1042	750	294	577	668	644	390	346	30	136	243	185	119	164	529	70	81
AURKAIP1	747	1552	1767	1298	699	2321	638	552	2324	403	1020	392	618	605	499	720	488	680	905	334
CCNL2	2518	4272	5152	5202	2676	6351	3061	2841	6732	1775	2869	1462	4469	5029	3324	4704	2864	3502	3100	1220
MRPL20-AS1	193	344	477	345	184	620	188	160	423	98	261	161	247	345	192	314	150	206	285	79
MRPL20	717	1512	1674	1361	747	2580	792	723	2608	389	910	478	585	305	574	541	632	778	918	402
MRPL20-DT	83	111	128	157	70	141	88	82	221	28	102	35	177	549	110	181	78	95	95	46
ANKRD65	0	1	1	4	5	5	9	6	3	6	0	0	1	25	5	5	2	3	0	2
ANKRD65-AS1	0	1	0	0	1	0	1	1	1	4	0	0	5	31	1	1	0	4	0	2
TMEM88B	7	5	5	20	7	12	9	8	18	12	3	0	2	3	2	0	9	8	2	1
LINC01770	33	19	1	48	22	73	29	28	68	29	23	0	0	2	4	4	19	37	0	1
LOC107985729	16	6	0	22	16	29	19	21	32	23	8	0	0	0	3	3	13	21	1	0
VWA1	134	88	25	357	192	364	175	147	278	133	127	4	24	17	19	16	76	142	21	16
ATAD3C	0	3	1	11	5	5	0	5	12	6	7	1	2	8	0	2	5	3	2	0
ATAD3B	468	783	878	719	362	1091	471	497	1164	296	464	214	546	683	550	1159	391	585	503	189
ATAD3A	320	745	950	676	376	964	326	353	1061	194	498	249	175	245	152	232	251	292	510	196
TMEM240	63	128	106	75	35	139	74	40	157	48	56	29	12	11	16	12	32	90	66	26
SSU72	946	1956	2130	2275	1110	2627	1071	903	3563	604	1470	619	885	754	831	634	827	881	1354	585
FNDC10	86	125	182	207	94	151	46	61	276	92	157	34	159	157	35	103	59	48	87	21
LOC105378586	2	0	2	1	2	2	2	0	5	3	1	1	5	7	1	2	3	1	1	0
MIB2	566	944	1018	584	331	1348	522	539	1219	445	618	219	815	674	586	1240	535	696	601	210
LOC124903821	264	492	302	171	134	559	339	267	302	177	198	51	112	87	122	237	303	460	198	106
MMP23B	68	234	139	83	67	220	109	100	219	69	137	20	13	22	9	33	59	115	89	45
CDK11B	503	1102	1017	996	565	1424	677	574	1376	354	825	321	769	680	525	824	487	667	768	320
SLC35E2B	855	2083	2297	1842	1048	1864	1180	1244	2617	877	1402	825	815	776	562	672	905	1450	1266	617
MMP23A	2	7	0	5	1	9	6	1	9	5	9	0	0	0	0	2	7	1	5	3
CDK11A	163	374	377	396	197	533	250	216	532	137	263	124	503	438	288	583	175	255	247	101
SLC35E2A	318	819	1185	513	350	567	408	420	1036	415	574	357	224	174	163	239	395	513	729	263
LOC112268218	2	1	1	0	0	2	3	1	2	2	5	1	3	14	4	9	1	4	2	0
NADK	519	927	1035	1163	539	1441	605	572	1389	280	651	282	530	517	454	552	425	620	558	250
GNB1	4454	8050	9546	12074	6020	9282	5319	4649	12395	2808	7075	3538	1788	1122	3000	1609	3651	4079	5540	2439
GNB1-DT	11	8	22	17	11	12	5	12	12	6	12	7	22	22	9	24	6	6	8	4
LOC124903822	1	2	3	0	1	2	7	2	5	1	1	0	6	12	9	7	2	4	4	0
CALML6	0	2	3	4	3	4	4	3	7	6	5	1	9	27	10	15	1	8	3	1
TMEM52	6	16	10	9	2	6	10	5	8	6	9	4	58	81	10	31	2	5	5	2
CFAP74	0	0	0	0	1	5	4	2	2	3	0	0	11	13	13	13	0	0	0	0
LOC107984872	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	0	0
LOC105378589	0	0	0	1	0	0	1	1	2	1	0	0	1	0	2	0	0	0	0	0
GABRD	0	0	0	2	2	0	0	0	0	0	0	0	0	2	1	6	0	0	0	0
LOC105378590	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
PRKCZ	441	893	1118	890	397	1269	484	414	1157	316	726	344	83	100	103	75	387	510	725	269
PRKCZ-DT	0	2	1	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0
PRKCZ-AS1	59	109	145	113	71	98	44	46	97	45	83	40	69	90	25	19	63	88	98	38
FAAP20	398	838	817	755	432	1070	462	411	1157	302	637	178	317	389	208	307	274	464	420	216
LOC112268219	99	160	186	143	64	174	93	95	241	78	103	45	136	103	76	123	81	95	111	43
LOC105378593	6	11	9	8	5	3	7	10	11	9	9	0	9	18	1	6	6	16	6	1
LOC124903823	1	3	2	0	1	0	2	1	8	0	4	1	1	3	1	2	1	2	3	1
SKI	1368	3362	3263	3206	1702	3006	1879	1652	3558	1062	2716	984	1985	1972	1787	2319	1130	1742	1950	1048
LOC124903824	34	68	108	44	22	91	26	32	63	45	31	17	4	11	12	18	26	51	42	17
MORN1	57	128	111	89	54	131	64	54	138	48	84	29	193	202	84	89	44	91	69	32
LOC100129534	12	29	25	39	23	13	21	19	42	31	21	4	64	89	19	19	12	38	13	4
RER1	723	1602	1633	1820	880	1549	997	781	2327	478	1086	548	1484	991	1035	849	717	813	944	419
PEX10	202	426	427	276	194	386	203	188	422	101	284	101	57	17	96	68	144	218	210	88
PLCH2	7	3	13	6	8	12	10	9	14	2	7	5	13	10	13	15	3	19	6	0
PANK4	581	1160	1343	941	487	1524	699	639	1836	313	751	365	478	393	389	569	510	620	662	314
HES5	0	0	0	0	0	0	0	1	0	0	1	0	1	2	1	1	0	0	0	0
TNFRSF14-AS1	0	0	0	0	0	0	0	0	0	0	0	0	1	3	0	1	0	0	0	0
TNFRSF14	0	0	6	38	18	6	4	4	1	1	1	0	4	8	3	0	0	7	0	1
LOC100996583	0	3	2	1	0	0	0	0	1	1	0	0	0	2	0	0	0	2	0	0
PRXL2B	289	553	673	580	365	716	383	337	666	198	391	180	127	237	68	98	239	402	350	148
MMEL1	1	0	0	1	2	0	1	3	3	3	2	0	4	4	2	4	2	1	0	0
MMEL1-AS1	0	1	3	0	2	0	0	0	1	1	0	0	1	0	0	2	1	2	0	0
TTC34	18	41	20	17	17	19	31	23	19	33	16	4	13	21	33	17	28	37	8	8
LOC105378602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112268220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107985732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378598	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0
LOC107984904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124903825	0	0	0	0	0	0	0	0	0	0	0	0	16	14	1	10	0	0	0	0
LOC124903826	0	0	0	0	0	0	0	0	0	0	0	0	7	3	1	5	0	0	0	0
ACTRT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
LOC124903827	1302	2814	2285	1494	1095	3263	1365	1097	3092	1995	1797	606	302	537	245	437	1705	2474	1344	785
PRDM16-DT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
