	CTRL_1	CTRL_2	CTRL_3	CTRL_4	CTRL_5	CTRL_6	CTRL_7	CTRL_8	CTRL_9	CTRL_10	CTRL_11	CTRL_12	GEF_1	GEF_2	GEF_3	GEF_4	IDA_1	IDA_2	IDA_3	IDA_4
DDX11L1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WASH7P	201	123	25	66	43	147	54	63	65	97	43	54	36	85	58	61	65	27	78	43
MIR6859-1	5	13	2	5	4	24	6	9	0	12	11	6	4	10	2	6	5	3	8	9
MIR1302-2HG	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	0
MIR1302-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM138A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4F5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
LOC124903816	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	3	2	0	1
LOC124900384	11	5	1	9	4	8	9	7	3	6	7	7	1	8	3	1	1	1	4	3
LOC729737	267	868	220	494	409	809	444	525	320	637	280	356	144	384	245	343	229	265	242	163
LOC124903814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX11L17	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
LOC100996442	55	92	21	32	17	62	36	39	16	40	38	23	14	38	24	65	63	21	53	24
MIR6859-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC127239154	0	0	0	0	0	0	1	0	2	0	0	0	1	1	1	0	3	0	6	1
LOC124903815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124900618	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
LOC112268260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4F29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC100132287	0	0	0	10	3	4	3	0	1	10	2	2	1	7	4	1	0	1	5	0
LOC124904706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378947	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0
LOC101928626	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR12136	0	1	0	1	0	9	0	0	0	1	0	0	1	0	2	1	0	6	1	1
OR4F16	2	0	0	0	1	0	0	3	2	0	0	1	0	0	1	0	0	0	1	1
LOC100288069	74	114	21	81	46	71	80	60	50	112	64	72	30	102	65	78	48	59	59	38
LINC01409	43	41	27	29	23	68	21	36	24	23	22	33	11	30	25	37	70	18	44	34
LOC124903817	25	11	2	11	7	23	5	12	8	19	1	7	5	16	11	11	24	11	18	4
FAM87B	19	2	5	9	1	6	4	3	5	6	3	8	4	6	6	5	12	5	16	6
LINC00115	41	22	10	27	7	44	12	26	16	23	24	19	6	20	18	11	20	4	26	18
LINC01128	2330	1480	556	1768	688	3035	986	1289	666	2535	1133	1147	903	1275	1521	1159	724	349	898	735
LOC107984850	3	2	3	4	0	13	14	5	2	15	3	8	2	9	8	0	5	3	11	9
FAM41C	0	1	0	0	0	4	0	1	0	0	2	1	0	0	1	0	13	1	6	2
LOC284600	29	24	1	25	41	19	30	75	64	19	12	44	4	33	12	10	18	22	31	13
LINC02593	6	3	0	2	1	5	5	33	15	1	1	8	0	3	5	1	3	6	9	3
LOC107985728	14	9	1	10	18	5	17	40	22	6	5	6	0	8	5	5	13	9	9	14
SAMD11	32	19	3	28	41	31	46	159	98	15	10	29	1	16	18	10	23	29	30	30
NOC2L	2669	2050	658	1420	658	2287	836	1991	966	1826	888	981	453	1040	695	1215	2185	491	1815	1293
KLHL17	217	148	21	109	106	313	103	162	86	131	101	92	20	102	76	93	47	43	77	54
PLEKHN1	10	2	1	2	2	16	5	4	6	1	1	4	0	4	1	3	12	7	27	16
PERM1	0	0	0	0	0	0	0	2	0	2	1	2	0	3	0	0	3	0	2	0
HES4	661	313	34	232	76	415	148	261	156	398	183	190	98	173	161	155	98	109	176	176
ISG15	9772	272	64	226	166	654	178	391	229	267	189	374	52	373	109	96	291	394	2398	515
AGRN	10760	6620	1744	4378	1499	5657	2286	5805	3011	4463	2375	2383	929	2315	1408	3299	5745	1337	5231	4056
LOC100288175	7	10	2	6	5	10	4	39	18	7	5	7	0	9	2	2	13	2	10	11
LOC105378948	20	1	0	5	10	7	5	15	8	8	8	5	3	13	8	2	2	3	0	6
RNF223	2	0	0	2	0	0	2	13	9	0	1	1	0	0	0	1	0	0	0	1
C1orf159	201	233	51	150	109	258	129	227	122	259	90	123	60	133	67	122	37	47	57	38
LOC124903819	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	7	1	0	0	0
LOC124903820	1	0	0	0	0	3	0	0	0	0	0	0	1	0	0	0	1	0	0	0
LINC01342	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
LOC124903818	0	0	0	2	1	0	1	0	0	0	0	0	0	0	1	3	0	0	0	1
MIR200B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR200A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	1
