	CAR_1	CAR_2	CAR_3	CAR_4	CTRL_1	CTRL_2	CTRL_3	CTRL_4	CTRL_5	CTRL_6	CTRL_7	CTRL_8	CTRL_9	CTRL_10	CTRL_11	CTRL_12	GEF_1	GEF_2	GEF_3	GEF_4
DDX11L1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WASH7P	51	79	71	57	147	63	65	201	43	54	54	43	66	25	123	97	58	85	61	36
MIR6859-1	2	8	6	4	24	9	0	5	11	6	6	4	5	2	13	12	2	10	6	4
MIR1302-2HG	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1
MIR1302-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM138A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4F5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124903816	0	0	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0
LOC124900384	7	2	5	0	8	7	3	11	7	7	9	4	9	1	5	6	3	8	1	1
LOC729737	255	160	290	174	809	525	320	267	280	356	444	409	494	220	868	637	245	384	343	144
LOC124903814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX11L17	0	3	2	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
LOC100996442	36	54	39	36	62	39	16	55	38	23	36	17	32	21	92	40	24	38	65	14
MIR6859-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC127239154	0	3	5	2	0	0	2	0	0	0	1	0	0	0	0	0	1	1	0	1
LOC124903815	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124900618	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
LOC112268260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4F29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC100132287	2	4	3	3	4	0	1	0	2	2	3	3	10	0	0	10	4	7	1	1
LOC124904706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378947	1	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
LOC101928626	0	0	3	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR12136	0	1	0	0	9	0	0	0	0	0	0	0	1	0	1	1	2	0	1	1
OR4F16	2	1	4	0	0	3	2	2	0	1	0	1	0	0	0	0	1	0	0	0
LOC100288069	31	32	56	45	71	60	50	74	64	72	80	46	81	21	114	112	65	102	78	30
LINC01409	21	9	34	5	68	36	24	43	22	33	21	23	29	27	41	23	25	30	37	11
LOC124903817	7	13	39	2	23	12	8	25	1	7	5	7	11	2	11	19	11	16	11	5
FAM87B	4	3	11	1	6	3	5	19	3	8	4	1	9	5	2	6	6	6	5	4
LINC00115	7	9	14	5	44	26	16	41	24	19	12	7	27	10	22	23	18	20	11	6
LINC01128	321	506	244	372	3035	1289	666	2330	1133	1147	986	688	1768	556	1480	2535	1521	1275	1159	903
LOC107984850	2	3	12	1	13	5	2	3	3	8	14	0	4	3	2	15	8	9	0	2
FAM41C	0	0	8	0	4	1	0	0	2	1	0	0	0	0	1	0	1	0	0	0
