	CTRL_1	CTRL_2	CTRL_3	CTRL_4	CTRL_5	CTRL_6	CTRL_7	CTRL_8	CTRL_9	CTRL_10	CTRL_11	DOX_1	DOX_2	DOX_3	GEF_1	GEF_2	GEF_3
DDX11L1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
WASH7P	59	13	21	42	152	43	118	35	36	83	27	64	77	41	22	40	34
MIR6859-1	0	2	1	0	0	4	9	3	3	5	6	13	12	11	2	3	7
MIR1302-2HG	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	1	0
MIR1302-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
FAM138A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4F5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124903816	0	1	0	0	2	0	0	1	0	1	0	2	0	0	0	0	0
LOC124900384	7	8	5	0	0	9	11	1	4	7	1	0	2	0	2	3	2
LOC729737	262	228	282	167	620	379	813	305	376	556	183	172	416	69	320	297	456
LOC124903814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DDX11L17	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
LOC100996442	35	25	25	35	161	43	88	18	26	62	33	45	86	64	32	38	85
MIR6859-2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC127239154	0	2	1	0	0	1	0	0	2	2	0	3	0	2	1	0	0
LOC124903815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124900618	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112268260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OR4F29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC100132287	0	0	0	0	0	0	0	0	0	36	10	0	0	24	0	0	0
LOC124904706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378947	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0
LOC101928626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR12136	1	1	2	28	69	9	36	0	3	2	2	43	7	1	1	1	13
OR4F16	0	0	1	0	0	0	1	0	0	2	0	0	0	1	1	0	0
LOC100288069	70	41	30	12	21	69	77	38	49	106	29	38	99	34	47	53	48
LINC01409	19	14	5	10	14	10	19	13	11	32	11	28	19	7	13	19	10
LOC124903817	6	8	9	10	8	14	14	3	4	14	3	11	22	7	7	7	4
FAM87B	4	9	3	3	1	7	11	2	7	9	3	9	27	8	3	1	5
LINC00115	2	12	14	7	7	5	16	6	15	9	3	21	35	33	8	19	1
LINC01128	1237	580	687	826	670	528	1084	712	782	1328	509	721	672	745	755	986	655
LOC107984850	3	0	2	1	9	1	3	3	1	2	6	1	2	9	1	3	2
FAM41C	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0
LOC284600	12	3	3	6	14	4	15	5	2	49	24	2	13	18	5	0	0
LINC02593	0	0	0	3	1	0	0	2	2	5	3	2	1	5	1	1	1
LOC107985728	3	2	1	0	22	8	6	1	4	18	5	2	4	8	5	3	5
SAMD11	5	7	3	0	51	11	16	2	6	79	27	23	31	25	1	5	22
NOC2L	1005	435	593	508	2215	625	1494	661	779	1690	662	1715	2311	2093	542	626	680
KLHL17	75	23	40	36	215	78	180	35	67	149	45	87	100	94	52	32	100
PLEKHN1	2	0	0	0	9	6	3	2	4	7	2	12	18	15	1	0	2
PERM1	1	0	0	3	0	0	3	1	0	0	1	0	1	3	0	1	0
HES4	91	86	182	98	678	82	506	76	192	247	71	156	331	127	78	126	100
ISG15	91	48	80	101	710	72	224	114	124	361	120	394	461	824	77	85	118
AGRN	1881	1297	1602	1012	6020	3262	5714	1961	3040	3497	1062	9031	18662	4226	1651	1306	2912
LOC100288175	0	5	0	0	7	1	14	3	0	8	6	1	3	4	0	5	0
LOC105378948	4	0	4	0	1	0	7	1	0	1	1	1	3	1	1	0	0
RNF223	0	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	0
C1orf159	104	41	82	57	440	96	271	75	103	172	43	12	42	19	82	73	95
LOC124903819	0	0	1	0	2	2	0	1	2	0	0	1	0	0	1	0	2
LOC124903820	0	0	0	0	0	1	0	0	2	1	1	2	0	0	0	0	0
LINC01342	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
LOC124903818	0	0	0	0	0	3	0	0	0	2	0	0	0	0	0	1	0
MIR200B	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR200A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TTLL10	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
TNFRSF18	0	0	3	2	3	0	1	1	0	3	0	0	7	2	0	2	2
TNFRSF4	0	0	2	0	4	1	2	0	0	2	0	3	4	2	1	0	0
SDF4	1131	824	1123	1018	3446	822	2468	994	1331	2921	1153	2171	3269	2637	795	1026	979
B3GALT6	295	194	296	237	1231	262	718	185	373	582	218	165	337	273	188	283	262
C1QTNF12	9	6	4	9	44	6	28	8	5	36	7	3	18	14	6	0	9
UBE2J2	366	331	445	341	1361	380	1009	396	459	844	311	747	1212	594	309	455	368
SCNN1D	151	87	60	77	288	82	298	51	96	214	60	638	1045	438	125	104	129
ACAP3	749	524	676	598	2487	735	1837	615	974	1768	563	813	1857	735	716	694	906
MIR6726	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SNORD167	2	2	3	1	3	2	11	3	6	6	4	7	12	0	3	1	0
PUSL1	65	78	79	90	361	77	167	54	117	226	68	33	54	46	77	99	71
INTS11	965	566	670	627	2519	686	1753	699	878	1885	665	988	1701	790	626	723	677
MIR6727	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CPTP	205	251	325	274	1267	266	766	259	416	671	230	238	544	229	253	277	279
TAS1R3	8	7	11	15	72	28	34	15	22	25	6	50	78	38	13	11	19
DVL1	419	337	371	347	1012	371	951	395	517	890	319	336	757	184	386	443	432
MIR6808	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MXRA8	100	84	85	51	498	111	212	61	112	1467	586	148	331	223	80	94	135
AURKAIP1	652	500	586	608	3621	417	1545	541	767	1366	449	841	1217	678	474	583	425
CCNL2	1994	1216	1398	1469	3751	1522	3737	1244	1353	3532	1439	3334	4241	3801	1227	1765	2124
MRPL20-AS1	140	102	124	144	478	112	292	113	145	359	141	281	332	296	101	135	118
MRPL20	646	307	390	604	2154	287	963	422	443	1088	489	725	689	628	355	436	333
MRPL20-DT	66	19	26	28	115	19	111	30	32	97	29	136	128	173	38	57	23
ANKRD65	1	0	1	0	0	4	3	2	0	16	4	6	10	10	0	1	1
ANKRD65-AS1	0	0	0	0	2	0	0	0	0	2	2	2	1	10	0	0	0
TMEM88B	3	1	1	0	8	0	8	0	0	11	0	0	0	2	1	1	6
LINC01770	11	5	1	1	14	6	10	8	7	54	14	4	1	4	1	5	1
LOC107985729	12	1	1	0	1	11	2	5	2	20	6	3	3	8	1	1	3
VWA1	61	26	35	14	159	42	100	33	52	287	97	5	18	46	16	20	45
ATAD3C	13	0	1	1	13	4	5	0	3	16	9	0	0	3	5	0	6
ATAD3B	356	216	190	237	1162	321	770	227	225	662	247	543	834	349	250	252	347
ATAD3A	320	241	304	222	1452	276	761	298	350	665	247	158	286	108	218	284	274
TMEM240	42	50	34	47	142	30	159	36	56	94	35	12	20	8	44	50	45
SSU72	763	486	690	760	2522	436	1236	574	659	1573	665	702	964	648	459	670	497
FNDC10	75	80	82	67	273	57	172	34	57	118	38	39	25	38	42	66	59
LOC105378586	5	0	1	2	0	2	2	1	0	1	0	1	0	3	1	0	0
MIB2	381	327	327	290	814	328	936	290	349	704	223	1187	1831	602	368	437	546
LOC124903821	110	94	71	94	311	104	384	70	88	204	70	129	249	69	131	119	196
MMP23B	22	62	60	26	222	28	226	49	107	130	35	8	4	10	81	86	74
CDK11B	524	313	327	373	1005	316	758	331	421	776	324	612	814	529	268	374	393
SLC35E2B	1048	615	717	690	952	781	1561	704	850	1633	676	496	812	490	653	799	901
MMP23A	0	2	2	3	7	0	12	0	3	0	0	0	1	0	2	10	0
CDK11A	178	91	117	125	304	118	286	106	129	306	150	370	481	393	110	133	199
SLC35E2A	333	262	293	345	575	426	688	226	278	695	280	272	513	185	253	349	471
LOC112268218	0	0	0	1	0	0	11	1	0	2	0	5	5	8	1	0	0
NADK	411	258	292	299	894	397	754	251	321	772	272	386	663	517	244	359	393
GNB1	3563	2155	3134	3172	5887	2673	5223	2729	3164	7521	3445	2202	3233	1449	1904	2804	2761
GNB1-DT	7	4	5	1	23	1	19	4	6	11	3	45	42	24	4	3	11
LOC124903822	1	6	1	3	0	4	8	5	3	5	1	13	49	14	3	3	5
CALML6	0	0	2	1	16	3	5	0	1	11	0	22	92	23	0	2	3
TMEM52	0	4	1	3	2	3	4	3	4	3	0	80	95	83	2	5	5
CFAP74	0	1	0	0	0	0	0	0	1	2	4	4	5	11	0	0	0
LOC107984872	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0
LOC105378589	0	0	1	1	0	0	0	0	0	0	0	3	2	3	0	0	0
GABRD	0	0	1	4	0	0	0	0	0	0	0	0	0	1	0	0	7
LOC105378590	0	0	0	3	0	0	1	0	0	2	0	0	1	0	0	0	0
PRKCZ	561	352	424	377	943	390	749	390	456	734	306	64	154	113	305	406	472
PRKCZ-DT	0	1	0	0	0	1	1	0	0	0	0	0	1	0	4	0	0
PRKCZ-AS1	78	35	33	36	129	59	151	58	50	99	36	42	60	81	47	45	63
FAAP20	247	266	356	241	2003	309	857	290	436	682	216	271	495	255	250	339	344
LOC112268219	62	52	54	70	228	97	155	49	81	165	45	151	196	128	54	58	71
LOC105378593	4	5	3	3	9	4	7	2	4	3	1	1	2	4	9	4	14
LOC124903823	0	0	0	0	0	0	2	0	0	3	0	0	0	1	0	0	6
SKI	1057	1062	1360	926	1813	1499	2667	1267	1689	2870	999	1393	2782	1697	1213	1244	1500
LOC124903824	13	19	23	11	86	32	134	22	42	52	15	14	17	6	29	17	26
MORN1	76	34	40	31	113	64	109	28	37	94	28	127	167	134	30	61	68
LOC100129534	32	12	10	19	26	1	47	17	16	43	12	25	59	46	20	15	22
RER1	708	366	546	519	1406	379	1049	467	505	1256	506	1281	1339	1327	393	512	404
PEX10	132	120	154	112	403	124	288	139	214	380	120	146	243	46	122	154	95
PLCH2	4	7	8	0	9	7	17	5	10	5	2	20	31	9	10	7	13
PANK4	646	433	484	462	1051	372	1065	460	602	1003	381	467	770	294	403	476	494
HES5	0	0	1	0	0	0	0	0	1	0	0	6	0	1	0	1	0
TNFRSF14-AS1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF14	3	0	3	2	0	1	0	0	0	8	7	0	0	2	2	0	1
LOC100996583	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	0	0
PRXL2B	362	181	213	262	586	177	513	214	225	532	183	37	60	46	197	228	304
MMEL1	3	0	2	0	0	0	0	0	1	2	2	0	0	2	1	3	0
MMEL1-AS1	1	0	1	1	2	0	0	0	0	0	0	0	0	1	0	0	0
TTC34	15	12	10	2	10	4	13	7	6	10	5	10	34	6	11	7	9
LOC105378602	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC112268220	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107985732	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378600	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378598	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107984904	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105378599	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124903825	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0
LOC124903826	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
ACTRT2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124903827	848	452	831	710	1314	979	1735	261	419	1318	532	411	647	264	501	713	1542
PRDM16-DT	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
PRDM16	1932	1155	1158	885	1531	1211	2764	1154	1459	1924	562	112	226	47	1388	1635	1448
MIR4251	0	3	2	0	3	3	1	1	1	1	2	0	0	0	2	0	2
LOC105378606	0	2	4	2	9	13	12	2	2	9	6	1	6	0	5	3	18
LOC107984909	77	47	68	29	142	114	145	45	36	88	43	33	73	24	60	35	178
LOC105378605	2	5	4	0	8	21	8	1	1	10	3	0	1	0	4	2	13
LOC124903828	183	476	256	120	601	938	437	509	666	415	139	112	406	33	1304	188	644
LOC105378604	71	170	148	85	227	243	142	153	191	181	72	62	142	34	347	105	231
ARHGEF16	16	14	13	6	60	22	40	7	15	19	11	49	108	6	7	5	11
MEGF6	644	356	352	328	1169	481	1195	525	796	1215	365	219	272	205	908	521	578
LOC105378608	0	0	0	1	0	0	0	0	1	1	0	0	5	0	0	0	0
MIR551A	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TPRG1L	586	310	457	434	1103	257	836	418	546	1066	465	946	968	1375	383	493	385
WRAP73	190	75	115	127	326	118	309	121	134	261	112	286	309	154	89	100	131
TP73	14	10	13	4	32	13	15	3	19	24	9	43	76	58	21	13	9
TP73-AS3	0	3	1	0	0	3	0	0	0	2	0	6	6	1	1	0	0
TP73-AS1	759	415	501	415	963	487	1218	534	598	1051	443	787	1180	570	443	613	557
CCDC27	62	22	27	28	32	38	51	36	39	32	10	33	56	28	40	47	58
SMIM1	71	27	43	42	237	28	105	38	72	82	21	12	19	8	48	47	36
LRRC47	1204	767	991	987	2649	758	2073	902	1219	2235	892	1541	1940	1331	840	1166	897
CEP104	480	258	369	369	512	340	634	384	368	816	344	802	907	860	247	353	396
LOC124903829	3	14	9	5	10	5	21	5	5	11	3	5	9	7	11	10	8
DFFB	62	17	30	30	116	31	100	22	33	94	47	58	41	29	40	38	77
C1orf174	153	106	139	203	307	131	350	108	164	402	160	166	172	151	89	136	125
LINC01134	15	2	0	1	5	5	10	2	3	8	3	19	28	20	6	3	1
LINC01346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01345	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105376674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124904578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC01646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
AJAP1	0	2	0	0	0	0	1	0	0	1	1	11	2	12	0	0	0
LINC02781	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124904589	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC102724429	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINC02782	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105376682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124904590	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC107984911	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC105376686	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
LOC124900451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LOC124903830	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MIR4689	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NPHP4	151	75	79	47	214	124	180	114	115	194	50	70	110	81	102	88	99
KCNAB2	71	31	21	40	76	27	86	43	58	108	35	68	105	204	47	37	50
LOC124903831	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	2	0
CHD5	11	2	3	2	12	5	4	1	1	6	4	9	29	23	1	3	2
RPL22	1548	673	977	1342	2495	509	1592	879	925	1884	987	832	585	425	762	936	613
RNF207-AS1	27	29	18	32	48	30	66	15	23	58	3	18	11	4	38	34	57
RNF207	5289	3339	3540	3825	6419	4026	11320	3109	3878	7999	2596	456	471	194	4471	4834	5412
ICMT	1598	924	1226	1459	2544	1040	2188	1078	1236	2840	1212	1161	1518	746	989	1343	1194
ICMT-DT	0	1	4	2	7	1	0	0	3	5	1	2	6	11	0	1	0
HES3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
GPR153	161	148	157	106	252	112	360	161	193	478	163	239	375	242	138	157	129
ACOT7	432	214	273	250	936	186	569	307	365	644	258	477	382	1111	158	207	156
HES2	0	0	0	0	0	2	0	0	0	0	0	16	12	19	0	0	0
ESPN	1	3	2	0	12	1	3	0	2	2	1	99	141	95	0	0	0
MIR4252	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TNFRSF25	82	14	19	38	142	31	138	36	51	117	41	10	30	17	46	17	74
PLEKHG5	264	146	105	101	318	202	392	228	230	397	149	66	94	51	262	164	197
NOL9	463	364	440	519	895	488	737	403	441	1100	445	707	986	821	326	530	405
TAS1R1	14	0	6	0	3	1	2	1	1	1	1	43	18	44	1	3	0
LOC107984912	0	3	1	0	0	0	0	0	0	0	0	0	3	0	0	1	0
ZBTB48	218	119	139	141	650	138	432	128	154	434	158	240	446	258	116	170	184
KLHL21	1834	1584	2195	1939	3105	2006	4037	2223	2871	4310	1640	3541	5312	4230	1928	2259	1933
LOC107984913	69	48	45	25	54	76	78	54	73	103	34	279	315	321	57	66	80
PHF13	520	385	646	595	784	398	1110	368	555	1217	477	710	825	967	347	703	464
THAP3	176	97	97	100	607	75	268	92	114	328	114	83	128	98	78	96	101
DNAJC11	650	336	457	524	868	515	915	444	446	984	406	823	1040	529	366	468	463
LINC01672	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
LOC124904847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAMTA1-DT	4	0	5	3	3	2	4	0	4	1	2	26	16	71	2	6	3
CAMTA1	414	307	382	467	748	228	544	352	331	753	322	697	626	668	329	410	278
LOC124903832	30	83	80	63	60	94	66	45	112	75	17	94	369	57	137	69	73
CAMTA1-AS3	0	0	2	0	0	0	0	0	0	0	0	0	1	1	0	0	5
LOC124900385	0	2	0	2	0	0	0	0	4	4	0	0	4	1	1	3	0
CAMTA1-AS2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
CAMTA1-AS1	0	0	1	1	0	0	0	1	1	1	0	0	0	0	0	0	0
LOC105376691	1	1	0	1	0	1	1	0	1	0	0	0	1	0	1	0	0
LOC105376689	11	3	2	6	18	5	20	7	4	14	5	46	25	57	7	10	7
VAMP3	1117	641	945	1015	1836	538	1357	741	859	2203	1073	1577	990	1681	617	967	616
PER3	491	307	329	346	127	101	414	254	302	987	433	145	116	376	358	439	165
LOC124903833	2	10	9	4	0	7	4	3	3	13	6	0	4	3	8	8	8
UTS2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
TNFRSF9	0	5	4	11	10	6	3	9	3	38	19	0	0	16	2	1	4
