	treatment	Concentration	cell_line	cell_type	replicate
CTRL_1	Control	0nM	MSN09	cardiomyocytes	1
CTRL_2	Control	0nM	MSN09	cardiomyocytes	2
CTRL_3	Control	0nM	MSN09	cardiomyocytes	3
CTRL_4	Control	0nM	MSN09	cardiomyocytes	4
CTRL_5	Control	0nM	MSN09	cardiomyocytes	5
CTRL_6	Control	0nM	MSN09	cardiomyocytes	6
CTRL_7	Control	0nM	MSN09	cardiomyocytes	7
CTRL_8	Control	0nM	MSN09	cardiomyocytes	8
CTRL_9	Control	0nM	MSN09	cardiomyocytes	9
CTRL_10	Control	0nM	MSN09	cardiomyocytes	10
CTRL_11	Control	0nM	MSN09	cardiomyocytes	11
DOX_1	Doxorubicin	1uM	MSN09	cardiomyocytes	1
DOX_2	Doxorubicin	1uM	MSN09	cardiomyocytes	2
DOX_3	Doxorubicin	1uM	MSN09	cardiomyocytes	3
GEF_1	Gefitinib	1uM	MSN09	cardiomyocytes	1
GEF_2	Gefitinib	1uM	MSN09	cardiomyocytes	2
GEF_3	Gefitinib	1uM	MSN09	cardiomyocytes	3
