,sample2,sample4,sample1,sample3
DDX11L1,0,0,0,0
WASH7P,79,111,121,182
MIR6859-1,2,5,3,5
MIR1302-2HG,2,4,0,1
MIR1302-2,0,0,0,0
FAM138A,0,0,0,0
OR4F5,0,0,0,0
LOC124903816,0,0,0,0
LOC124900384,19,12,6,7
LOC729737,119,43,54,38
LOC124903814,0,0,0,0
DDX11L17,11,2,11,12
LOC100996442,89,65,91,100
MIR6859-2,1,0,0,1
LOC127239154,0,0,0,1
LOC124903815,1,0,0,0
LOC124900618,1,0,1,1
LOC112268260,0,0,0,1
OR4F29,0,0,2,1
LOC100132287,19,7,14,10
LOC124904706,0,2,1,1
LOC105378947,0,0,1,0
LOC101928626,0,0,0,0
MIR12136,6,9,6,0
OR4F16,3,1,3,1
LOC100288069,73,60,63,84
LINC01409,77,39,41,32
LOC124903817,12,6,13,10
FAM87B,17,7,14,16
LINC00115,49,51,37,53
LINC01128,201,242,114,120
LOC107984850,1,0,1,1
FAM41C,1,1,2,1
LOC284600,20,16,51,68
LINC02593,0,0,2,11
LOC107985728,0,2,9,30
SAMD11,22,19,147,295
NOC2L,4742,6410,3348,4216
KLHL17,665,615,513,888
PLEKHN1,27,24,35,40
PERM1,0,0,1,1
HES4,39,38,31,30
ISG15,287,371,214,212
AGRN,7332,8316,5748,6146
LOC100288175,44,22,40,32
LOC105378948,17,5,17,38
RNF223,3,1,4,10
C1orf159,362,361,297,278
LOC124903819,0,1,0,1
LOC124903820,25,19,22,31
LINC01342,3,2,0,0
LOC124903818,71,116,113,372
MIR200B,0,0,0,0
MIR200A,0,0,0,0
MIR429,0,0,0,0
TTLL10-AS1,5,2,5,3
TTLL10,14,10,7,14
TNFRSF18,14,18,60,43
TNFRSF4,7,2,11,5
SDF4,2183,2506,2418,2818
B3GALT6,759,1068,907,1143
C1QTNF12,57,30,40,46
UBE2J2,1491,1772,893,1153
SCNN1D,64,59,69,116
ACAP3,784,1022,367,479
MIR6726,0,0,0,0
SNORD167,9,7,5,4
PUSL1,927,1133,381,546
INTS11,2205,2700,2190,3273
MIR6727,0,0,0,0
CPTP,334,460,328,478
TAS1R3,160,131,107,168
DVL1,2760,2911,2498,3625
MIR6808,0,0,0,0
MXRA8,194,282,1155,2350
AURKAIP1,2478,3566,1667,1882
CCNL2,2528,2567,2391,3577
MRPL20-AS1,392,592,275,401
MRPL20,1377,1899,893,1055
MRPL20-DT,123,185,119,146
ANKRD65,30,41,52,65
ANKRD65-AS1,10,12,13,19
TMEM88B,39,55,76,67
LINC01770,44,54,73,103
LOC107985729,63,65,83,104
VWA1,989,1529,1685,2464
ATAD3C,15,14,6,8
ATAD3B,1983,3118,790,971
ATAD3A,1772,2717,856,1081
TMEM240,61,46,51,91
SSU72,3035,3325,1772,2313
FNDC10,340,270,109,149
LOC105378586,4,4,1,3
MIB2,534,530,438,654
LOC124903821,74,77,397,909
MMP23B,60,61,374,728
CDK11B,975,959,742,890
SLC35E2B,2030,2358,1619,2321
MMP23A,1,1,0,2
CDK11A,184,182,117,157
SLC35E2A,406,371,303,481
LOC112268218,2,2,6,4
NADK,1765,2051,817,1025
