	sample1	sample2	sample3	sample4
DDX11L1	0	0	0	0
WASH7P	111	148	203	79
MIR6859-1	5	2	3	2
MIR1302-2HG	4	0	2	2
MIR1302-2	0	0	0	0
FAM138A	0	0	0	0
OR4F5	0	0	0	0
LOC124903816	0	1	0	0
LOC124900384	12	1	3	19
LOC729737	43	23	26	119
LOC124903814	0	0	0	0
DDX11L17	2	1	2	11
LOC100996442	65	46	54	89
MIR6859-2	0	0	0	1
LOC127239154	0	1	1	0
LOC124903815	0	0	0	1
LOC124900618	0	1	1	1
LOC112268260	0	0	0	0
OR4F29	0	0	1	0
LOC100132287	7	10	19	19
LOC124904706	2	0	1	0
LOC105378947	0	0	1	0
LOC101928626	0	0	0	0
MIR12136	9	4	10	6
OR4F16	1	2	3	3
LOC100288069	60	51	69	73
LINC01409	39	17	22	77
LOC124903817	6	16	11	12
FAM87B	7	25	26	17
LINC00115	51	23	36	49
LINC01128	242	1462	1941	201
LOC107984850	0	5	5	1
FAM41C	1	2	2	1
LOC284600	16	74	84	20
LINC02593	0	87	106	0
LOC107985728	2	203	284	0
SAMD11	19	642	666	22
NOC2L	6410	2846	3309	4742
KLHL17	615	255	348	665
PLEKHN1	24	6	21	27
PERM1	0	2	7	0
HES4	38	381	557	39
ISG15	371	577	937	287
AGRN	8316	10268	9325	7332
LOC100288175	22	7	19	44
LOC105378948	5	12	21	17
RNF223	1	6	9	3
C1orf159	361	212	271	362
LOC124903819	1	1	0	0
LOC124903820	19	6	5	25
LINC01342	2	0	0	3
LOC124903818	116	14	2	71
MIR200B	0	0	0	0
MIR200A	0	0	0	0
MIR429	0	0	0	0
TTLL10-AS1	2	0	0	5
TTLL10	10	0	1	14
TNFRSF18	18	7	3	14
TNFRSF4	2	1	0	7
SDF4	2506	3398	3669	2183
B3GALT6	1068	1410	1615	759
C1QTNF12	30	29	20	57
UBE2J2	1772	1055	1117	1491
SCNN1D	59	123	205	64
ACAP3	1022	1476	1864	784
MIR6726	0	0	0	0
SNORD167	7	3	9	9
PUSL1	1133	240	276	927
INTS11	2700	1177	1294	2205
MIR6727	0	0	0	0
CPTP	460	909	1069	334
TAS1R3	131	87	66	160
DVL1	2911	1430	1724	2760
MIR6808	0	0	0	0
MXRA8	282	1511	1310	194
AURKAIP1	3566	2306	2637	2478
CCNL2	2567	1949	2375	2528
